Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:54 AM  1000   4177923    5.00    3.00    0.00    0.00    8.00    14   3268.00      0.00 2621660  164700   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:55 AM  1000   4177923    9.00    2.00    0.00    0.00   11.00     0   1766.00      0.00 2622064  171804   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:56 AM  1000   4177923   12.00    4.00    0.00    0.00   16.00     6   1888.00      0.00 2622848  179484   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:57 AM  1000   4177923   13.00    2.00    0.00    0.00   15.00     8    595.00      0.00 2622848  181788   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:58 AM  1000   4177923   13.00    2.00    0.00    0.00   15.00     6    785.00      0.00 2622848  185052   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:23:59 AM  1000   4177923   12.00    2.00    0.00    0.00   14.00     4    578.00      0.00 2622848  187356   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:00 AM  1000   4177923   11.00    3.00    0.00    0.00   14.00     0     32.00      0.00 2622848  187548   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:01 AM  1000   4177923   11.00    3.00    0.00    0.00   14.00     0    289.00      0.00 2622848  188700   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:02 AM  1000   4177923   12.00    2.00    0.00    0.00   14.00     0     84.00      0.00 2622848  188892   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:03 AM  1000   4177923   13.00    2.00    0.00    0.00   15.00    10     73.00      0.00 2622848  189084   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:04 AM  1000   4177923   11.00    2.00    0.00    0.00   13.00     2     29.00      0.00 2622848  189084   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:05 AM  1000   4177923   11.00    3.00    0.00    0.00   14.00     3     31.00      0.00 2622848  189276   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:06 AM  1000   4177923   14.00    2.00    0.00    0.00   16.00     3     67.00      0.00 2622848  189468   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:07 AM  1000   4177923   12.00    3.00    0.00    0.00   15.00     3     40.00      0.00 2622848  189468   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:08 AM  1000   4177923   12.00    2.00    0.00    0.00   14.00    10     66.00      0.00 2622848  189660   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:09 AM  1000   4177923   10.00    4.00    0.00    0.00   14.00     3    192.00      0.00 2623448  190428   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:24:10 AM  1000   4177923   12.00    2.00    0.00    0.00   14.00     8     25.00      0.00 2623448  190428   0.58  fastlio_mapping

