Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:56 AM  1000   4193879    5.00    2.00    0.00    0.00    7.00    11   4332.00      0.00 2620496  169032   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:57 AM  1000   4193879   12.00    3.00    0.00    0.00   15.00    11   2292.00      0.00 2621520  177228   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:58 AM  1000   4193879   15.00    2.00    0.00    0.00   17.00     2   1974.00      0.00 2621520  184908   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:36:59 AM  1000   4193879   15.00    3.00    0.00    0.00   18.00     4   1098.00      0.00 2621940  189324   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:00 AM  1000   4193879   14.00    2.00    0.00    0.00   16.00     6    693.00      0.00 2621940  192012   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:01 AM  1000   4193879   16.00    2.00    0.00    0.00   18.00     6    465.00      0.00 2622116  193932   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:02 AM  1000   4193879   16.00    3.00    0.00    0.00   19.00     6    511.00      0.00 2622116  195852   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:03 AM  1000   4193879   15.00    1.00    0.00    0.00   16.00    12    330.00      0.00 2622116  197004   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:04 AM  1000   4193879   14.00    2.00    0.00    0.00   16.00    12     41.00      0.00 2622116  197196   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:05 AM  1000   4193879   14.00    2.00    0.00    0.00   16.00    11     64.00      0.00 2622116  197388   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:06 AM  1000   4193879   13.00    1.00    0.00    0.00   14.00     4     16.00      0.00 2622116  197388   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:07 AM  1000   4193879   14.00    2.00    0.00    0.00   16.00    11      1.00      0.00 2622116  197388   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:08 AM  1000   4193879   15.00    2.00    0.00    0.00   17.00    11     83.00      0.00 2622120  197580   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:09 AM  1000   4193879   13.00    3.00    0.00    0.00   16.00    10    189.00      0.00 2622120  198348   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:10 AM  1000   4193879   14.00    2.00    0.00    0.00   16.00    12      6.00      0.00 2622124  198540   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:11 AM  1000   4193879   14.00    2.00    0.00    0.00   16.00     8     53.00      0.00 2622324  198924   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:37:12 AM  1000   4193879   16.00    2.00    0.00    0.00   18.00    12    161.00      0.00 2622324  199308   0.61  fastlio_mapping

