Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:48 AM  1000      9916    3.00    3.00    0.00    0.00    6.00    14   4847.00      0.00 2621260  170344   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:49 AM  1000      9916   12.00    2.00    0.00    0.00   14.00     9   3071.00      0.00 2621260  182248   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:50 AM  1000      9916   18.00    2.00    0.00    0.00   20.00    14   2123.00      0.00 2621260  190504   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:51 AM  1000      9916   18.00    3.00    0.00    0.00   21.00     4    702.00      0.00 2621864  193384   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:52 AM  1000      9916   16.00    2.00    0.00    0.00   18.00     4    978.00      0.00 2621864  197416   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:53 AM  1000      9916   16.00    2.00    0.00    0.00   18.00     4    822.00      0.00 2621864  200680   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:54 AM  1000      9916   17.00    2.00    0.00    0.00   19.00     4    202.00      0.00 2621864  201640   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:55 AM  1000      9916   16.00    1.00    0.00    0.00   17.00     6    361.00      0.00 2621864  203176   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:56 AM  1000      9916   18.00    2.00    0.00    0.00   20.00     2    347.00      0.00 2622384  204712   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:57 AM  1000      9916   16.00    2.00    0.00    0.00   18.00     4    102.00      0.00 2622384  205096   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:58 AM  1000      9916   16.00    2.00    0.00    0.00   18.00     6    529.00      0.00 2622508  206020   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:44:59 AM  1000      9916   16.00    2.00    0.00    0.00   18.00     6    217.00      0.00 2622508  206788   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:00 AM  1000      9916   16.00    3.00    0.00    0.00   19.00     2    235.00      0.00 2622508  207556   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:01 AM  1000      9916   18.00    2.00    0.00    0.00   20.00     4    644.00      0.00 2622508  210244   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:02 AM  1000      9916   18.00    2.00    0.00    0.00   20.00    10    635.00      0.00 2623512  212740   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:03 AM  1000      9916   18.00    2.00    0.00    0.00   20.00     0    381.00      0.00 2623820  214468   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:04 AM  1000      9916   17.00    3.00    0.00    0.00   20.00     2    400.00      0.00 2623820  216196   0.66  fastlio_mapping

