Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:29 PM  1000   1234450    2.00    1.00    0.00    0.00    3.00    12   3177.00      0.00 2615100  164244   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:30 PM  1000   1234450   16.00    4.00    0.00    0.00   20.00     2   9471.00      0.00 2622388  194956   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:31 PM  1000   1234450   17.00    3.00    0.00    0.00   20.00    12   4978.00      0.00 2622388  210968   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:32 PM  1000   1234450   15.00    3.00    0.00    0.00   18.00     4   2643.00      0.00 2622388  214836   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:33 PM  1000   1234450   20.00    2.00    0.00    0.00   22.00     0   1285.00      0.00 2622416  215656   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:34 PM  1000   1234450   17.00    2.00    0.00    0.00   19.00     2   1570.00      0.00 2622416  218664   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:35 PM  1000   1234450   19.00    2.00    0.00    0.00   21.00     0   1382.00      0.00 2622416  220388   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:36 PM  1000   1234450   17.00    2.00    0.00    0.00   19.00     2     86.00      0.00 2622428  219168   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:37 PM  1000   1234450   19.00    3.00    0.00    0.00   22.00     6   1289.00      0.00 2622652  220908   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:38 PM  1000   1234450   15.00    2.00    0.00    0.00   17.00    12   1414.00      0.00 2622652  224720   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:39 PM  1000   1234450   19.00    3.00    0.00    0.00   22.00    10    917.00      0.00 2622660  223904   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:40 PM  1000   1234450   19.00    2.00    0.00    0.00   21.00     8    851.00      0.00 2622668  224540   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:41 PM  1000   1234450   21.00    3.00    0.00    0.00   24.00     6    929.00      0.00 2622668  224544   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:42 PM  1000   1234450   18.00    2.00    0.00    0.00   20.00     8   1039.00      0.00 2622668  220916   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:43 PM  1000   1234450   21.00    2.00    0.00    0.00   23.00     4    946.00      0.00 2622668  219100   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:54:44 PM  1000   1234450   21.00    2.00    0.00    0.00   23.00     6   2173.00      0.00 2622668  223532   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
