Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:22 PM  1000   1243682    4.00    2.00    0.00    0.00    6.00     9   2947.00      0.00 2614472  165880   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:23 PM  1000   1243682   19.00    5.00    0.00    0.00   24.00     4   8642.00      0.00 2617148  194536   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:24 PM  1000   1243682   21.00    3.00    0.00    0.00   24.00    12   5040.00      0.00 2617148  207240   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:25 PM  1000   1243682   21.00    3.00    0.00    0.00   24.00    12   3072.00      0.00 2615984  208388   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:26 PM  1000   1243682   21.00    2.00    0.00    0.00   23.00    12   2906.00      0.00 2617336  210432   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:27 PM  1000   1243682   20.00    2.00    0.00    0.00   22.00    12   1970.00      0.00 2617336  212852   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:28 PM  1000   1243682   23.00    3.00    0.00    0.00   26.00     8   2627.00      0.00 2616168  212188   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:29 PM  1000   1243682   19.00    3.00    0.00    0.00   22.00     4   2526.00      0.00 2616328  213340   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:30 PM  1000   1243682   20.00    2.00    0.00    0.00   22.00     6   3212.00      0.00 2616268  215676   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:31 PM  1000   1243682   22.00    3.00    0.00    0.00   25.00     6   3209.00      0.00 2616268  220668   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:32 PM  1000   1243682   19.00    3.00    0.00    0.00   22.00     8   1061.00      0.00 2616268  222908   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:33 PM  1000   1243682   20.00    2.00    0.00    0.00   22.00     6   1459.00      0.00 2617420  221392   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:34 PM  1000   1243682   18.00    3.00    0.00    0.00   21.00    10   1064.00      0.00 2617420  221800   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:35 PM  1000   1243682   23.00    2.00    0.00    0.00   25.00     8   1209.00      0.00 2619052  222396   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:36 PM  1000   1243682   18.00    2.00    0.00    0.00   20.00    12    928.00      0.00 2619052  223744   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:11:37 PM  1000   1243682   17.00    2.00    0.00    0.00   19.00     4    206.00      0.00 2619052  224512   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
