Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:48 PM  1000   1254963    9.00    4.00    0.00    0.00   13.00     4   7855.00      0.00 2616732  184024   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:49 PM  1000   1254963   13.00    3.00    0.00    0.00   16.00     4   5851.00      0.00 2618168  203836   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:50 PM  1000   1254963   23.00    2.00    0.00    0.00   25.00     8   4201.00      0.00 2618168  216972   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:51 PM  1000   1254963   17.00    3.00    0.00    0.00   20.00     4   2863.00      0.00 2618192  215856   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:52 PM  1000   1254963   21.00    3.00    0.00    0.00   24.00     6   3034.00      0.00 2618192  216452   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:53 PM  1000   1254963   22.00    3.00    0.00    0.00   25.00    10   1649.00      0.00 2618192  217144   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:54 PM  1000   1254963   16.00    3.00    0.00    0.00   19.00     4   2217.00      0.00 2618192  222448   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:55 PM  1000   1254963   17.00    2.00    0.00    0.00   19.00     0   1457.00      0.00 2618192  219136   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:56 PM  1000   1254963   20.00    3.00    0.00    0.00   23.00     3   1666.00      0.00 2618200  223348   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:57 PM  1000   1254963   20.00    3.00    0.00    0.00   23.00     4   1196.00      0.00 2618200  224000   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:58 PM  1000   1254963   17.00    3.00    0.00    0.00   20.00     8    877.00      0.00 2618200  225088   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:32:59 PM  1000   1254963   20.00    2.00    0.00    0.00   22.00     6    663.00      0.00 2618200  225784   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:33:00 PM  1000   1254963   19.00    3.00    0.00    0.00   22.00     4   1843.00      0.00 2616816  223732   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:33:01 PM  1000   1254963   22.00    2.00    0.00    0.00   24.00     7   1754.00      0.00 2618356  226040   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:33:02 PM  1000   1254963   15.00    2.00    0.00    0.00   17.00     7   1321.00      0.00 2618356  227860   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:33:03 PM  1000   1254963   19.00    3.00    0.00    0.00   22.00     7    491.00      0.00 2618356  227916   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
