Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:49 PM  1000    220395    1.00    1.00    0.00    0.00    2.00    12     71.00      0.00 2481952  157440   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:50 PM  1000    220395    4.00    2.00    0.00    0.00    6.00    12      1.00      0.00 2481952  157440   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:51 PM  1000    220395   11.00    7.00    0.00    0.00   18.00    14  12395.00      0.00 2616248  197728   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:52 PM  1000    220395   17.00    5.00    0.00    0.00   22.00     8   5296.00      0.00 2616248  216924   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:53 PM  1000    220395   21.00    4.00    0.00    0.00   25.00    10   3558.00      0.00 2617880  224124   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:54 PM  1000    220395   20.00    2.00    0.00    0.00   22.00     8   2402.00      0.00 2618092  227504   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:55 PM  1000    220395   20.00    4.00    0.00    0.00   24.00     6   1488.00      0.00 2617092  222540   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:56 PM  1000    220395   19.00    4.00    0.00    0.00   23.00    12   3645.00      0.00 2617168  230100   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:57 PM  1000    220395   18.00    3.00    0.00    0.00   21.00     2   2122.00      0.00 2618692  232168   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:58 PM  1000    220395   18.00    4.00    0.00    0.00   22.00     4   1267.00      0.00 2617224  230284   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:49:59 PM  1000    220395   19.00    3.00    0.00    0.00   22.00     8   1003.00      0.00 2617224  227396   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:00 PM  1000    220395   18.00    3.00    0.00    0.00   21.00     2   1878.00      0.00 2617276  229456   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:01 PM  1000    220395   20.00    4.00    0.00    0.00   24.00     8   2605.00      0.00 2617276  232576   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:02 PM  1000    220395   21.00    3.00    0.00    0.00   24.00     8   2360.00      0.00 2617276  229864   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:03 PM  1000    220395   21.00    3.00    0.00    0.00   24.00    12   2632.00      0.00 2617356  231164   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:04 PM  1000    220395   20.00    5.00    0.00    0.00   25.00     8   3737.00      0.00 2618892  235716   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
