Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:02:57 PM  1000    481988    7.00    2.00    0.00    0.00    9.00    12   6158.00      0.00 2620652  175488   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:02:58 PM  1000    481988   14.00    3.00    0.00    0.00   17.00    15   4129.00      0.00 2621084  190500   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:02:59 PM  1000    481988   20.00    2.00    0.00    0.00   22.00    12   2387.00      0.00 2621084  199908   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:00 PM  1000    481988   20.00    3.00    0.00    0.00   23.00     0   1507.00      0.00 2622600  206052   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:01 PM  1000    481988   19.00    2.00    0.00    0.00   21.00     0    580.00      0.00 2622600  208548   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:02 PM  1000    481988   17.00    2.00    0.00    0.00   19.00     6    320.00      0.00 2622648  209700   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:03 PM  1000    481988   14.00    2.00    0.00    0.00   16.00    10    230.00      0.00 2622648  210468   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:04 PM  1000    481988   17.00    2.00    0.00    0.00   19.00     4    234.00      0.00 2622648  211428   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:05 PM  1000    481988   17.00    2.00    0.00    0.00   19.00     6    218.00      0.00 2622648  212388   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:06 PM  1000    481988   17.00    2.00    0.00    0.00   19.00     6      1.00      0.00 2622648  212388   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:07 PM  1000    481988   18.00    2.00    0.00    0.00   20.00    10     42.00      0.00 2622648  212388   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:08 PM  1000    481988   18.00    2.00    0.00    0.00   20.00    10     35.00      0.00 2622648  212580   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:09 PM  1000    481988   18.00    2.00    0.00    0.00   20.00     6    151.00      0.00 2622648  213348   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:10 PM  1000    481988   19.00    1.00    0.00    0.00   20.00    14    307.00      0.00 2622648  214500   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:11 PM  1000    481988   18.00    2.00    0.00    0.00   20.00     2    160.00      0.00 2622648  215076   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:12 PM  1000    481988   18.00    2.00    0.00    0.00   20.00     4    297.00      0.00 2623100  216036   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:03:13 PM  1000    481988   20.00    1.00    0.00    0.00   21.00     8    191.00      0.00 2624372  216804   0.67  fastlio_mapping

