Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:15:56 PM  1000    488841    4.00    2.00    0.00    0.00    6.00    12   2567.00      0.00 2620272  164076   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:15:57 PM  1000    488841    9.00    2.00    0.00    0.00   11.00    12   2218.00      0.00 2621240  170884   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:15:58 PM  1000    488841   11.00    2.00    0.00    0.00   13.00    14   1041.00      0.00 2621240  175108   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:15:59 PM  1000    488841   10.00    2.00    0.00    0.00   12.00    12    551.00      0.00 2621240  177220   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:00 PM  1000    488841   11.00    2.00    0.00    0.00   13.00    12   1013.00      0.00 2621372  181828   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:01 PM  1000    488841   12.00    2.00    0.00    0.00   14.00     0     86.00      0.00 2621372  182212   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:02 PM  1000    488841   12.00    2.00    0.00    0.00   14.00     2    220.00      0.00 2621372  182980   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:03 PM  1000    488841   13.00    2.00    0.00    0.00   15.00     4    394.00      0.00 2621372  184132   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:04 PM  1000    488841   13.00    1.00    0.00    0.00   14.00     4    154.00      0.00 2621372  184708   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:05 PM  1000    488841   14.00    1.00    0.00    0.00   15.00    10      2.00      0.00 2621372  184708   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:06 PM  1000    488841   10.00    3.00    0.00    0.00   13.00    10    143.00      0.00 2621504  185476   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:07 PM  1000    488841   13.00    1.00    0.00    0.00   14.00    10     46.00      0.00 2621504  185668   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:08 PM  1000    488841   12.00    3.00    0.00    0.00   15.00    12     39.00      0.00 2621504  186052   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:09 PM  1000    488841   15.00    2.00    0.00    0.00   17.00     2    201.00      0.00 2621724  186436   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:10 PM  1000    488841   12.00    2.00    0.00    0.00   14.00     2    408.00      0.00 2621724  187972   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:11 PM  1000    488841   13.00    1.00    0.00    0.00   14.00     2    378.00      0.00 2622620  189508   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:16:12 PM  1000    488841   12.00    3.00    0.00    0.00   15.00     4    222.00      0.00 2622620  190276   0.58  fastlio_mapping

