Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:31 PM  1000    493109    5.00    2.00    0.00    0.00    7.00     0   3989.00      0.00 2620504  167132   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:32 PM  1000    493109   12.00    2.00    0.00    0.00   14.00     0   2785.00      0.00 2621720  178844   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:33 PM  1000    493109   17.00    2.00    0.00    0.00   19.00    14   1935.00      0.00 2621720  186140   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:34 PM  1000    493109   15.00    3.00    0.00    0.00   18.00     2    662.00      0.00 2621720  189020   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:35 PM  1000    493109   15.00    2.00    0.00    0.00   17.00     2    427.00      0.00 2621720  190556   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:36 PM  1000    493109   15.00    3.00    0.00    0.00   18.00     8    615.00      0.00 2621720  193052   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:37 PM  1000    493109   14.00    3.00    0.00    0.00   17.00     8    308.00      0.00 2621720  194588   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:38 PM  1000    493109   15.00    3.00    0.00    0.00   18.00    12    353.00      0.00 2621972  195740   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:39 PM  1000    493109   17.00    2.00    0.00    0.00   19.00     8    306.00      0.00 2622000  196892   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:40 PM  1000    493109   18.00    2.00    0.00    0.00   20.00    14    247.00      0.00 2622000  197660   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:41 PM  1000    493109   17.00    1.00    0.00    0.00   18.00    12    317.00      0.00 2622420  199004   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:42 PM  1000    493109   17.00    1.00    0.00    0.00   18.00    14     76.00      0.00 2622420  199388   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:43 PM  1000    493109   16.00    2.00    0.00    0.00   18.00    10    321.00      0.00 2622432  200540   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:44 PM  1000    493109   16.00    1.00    0.00    0.00   17.00     4    155.00      0.00 2622432  201116   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:45 PM  1000    493109   17.00    2.00    0.00    0.00   19.00     4    110.00      0.00 2622432  201500   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:46 PM  1000    493109   15.00    1.00    0.00    0.00   16.00     6     46.00      0.00 2622432  201884   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:24:47 PM  1000    493109   18.00    1.00    0.00    0.00   19.00     4     72.00      0.00 2622432  202268   0.62  fastlio_mapping

