Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:06 PM  1000    573479    4.00    2.00    0.00    0.00    6.00     0   3415.00      0.00 2620460  166580   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:07 PM  1000    573479   13.00    4.00    0.00    0.00   17.00    14   4810.00      0.00 2621332  183824   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:08 PM  1000    573479   14.00    4.00    0.00    0.00   18.00    10   1928.00      0.00 2622280  191504   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:09 PM  1000    573479   15.00    3.00    0.00    0.00   18.00     0   1331.00      0.00 2622280  196496   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:10 PM  1000    573479   14.00    3.00    0.00    0.00   17.00    14    773.00      0.00 2622332  200144   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:11 PM  1000    573479   16.00    3.00    0.00    0.00   19.00     2    309.00      0.00 2622332  201296   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:12 PM  1000    573479   17.00    2.00    0.00    0.00   19.00     4    313.00      0.00 2622332  202448   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:13 PM  1000    573479   14.00    2.00    0.00    0.00   16.00     6    151.00      0.00 2622524  203024   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:14 PM  1000    573479   15.00    3.00    0.00    0.00   18.00     6     14.00      0.00 2622524  203024   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:15 PM  1000    573479   17.00    1.00    0.00    0.00   18.00    12    173.00      0.00 2622524  203600   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:16 PM  1000    573479   17.00    2.00    0.00    0.00   19.00    12     41.00      0.00 2622524  203792   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:17 PM  1000    573479   16.00    2.00    0.00    0.00   18.00    12    139.00      0.00 2622716  204560   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:18 PM  1000    573479   17.00    3.00    0.00    0.00   20.00     4     67.00      0.00 2622716  204752   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:19 PM  1000    573479   16.00    2.00    0.00    0.00   18.00     4     83.00      0.00 2622716  204944   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:20 PM  1000    573479   15.00    2.00    0.00    0.00   17.00    14    156.00      0.00 2623172  205520   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:21 PM  1000    573479   17.00    3.00    0.00    0.00   20.00     4     71.00      0.00 2623172  205712   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:16:22 PM  1000    573479   13.00    1.00    0.00    0.00   14.00     4     20.00      0.00 2623172  205904   0.63  fastlio_mapping

