Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:00 AM  1000   4117992    1.00    2.00    0.00    0.00    3.00     9    950.00      0.00 2613120  156672   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:01 AM  1000   4117992   12.00    4.00    0.00    0.00   16.00    10   8323.00      0.00 2622640  187312   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:02 AM  1000   4117992   15.00    1.00    0.00    0.00   16.00    10   2391.00      0.00 2622640  196528   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:03 AM  1000   4117992   19.00    3.00    0.00    0.00   22.00     6   1369.00      0.00 2622912  201904   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:04 AM  1000   4117992   21.00    2.00    0.00    0.00   23.00    10    895.00      0.00 2622912  206128   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:05 AM  1000   4117992   16.00    2.00    0.00    0.00   18.00    12    714.00      0.00 2622912  208624   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:06 AM  1000   4117992   18.00    2.00    0.00    0.00   20.00     4    457.00      0.00 2623440  210352   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:07 AM  1000   4117992   15.00    2.00    0.00    0.00   17.00     9    342.00      0.00 2623440  211696   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:08 AM  1000   4117992   16.00    3.00    0.00    0.00   19.00     4    126.00      0.00 2623484  211888   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:09 AM  1000   4117992   15.00    1.00    0.00    0.00   16.00     4      0.00      0.00 2623484  211888   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:10 AM  1000   4117992   17.00    2.00    0.00    0.00   19.00     4    310.00      0.00 2623680  213232   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:11 AM  1000   4117992   17.00    2.00    0.00    0.00   19.00     6    107.00      0.00 2623680  213616   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:12 AM  1000   4117992   18.00    2.00    0.00    0.00   20.00     8     62.00      0.00 2623680  213808   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:13 AM  1000   4117992   16.00    2.00    0.00    0.00   18.00    14     48.00      0.00 2623680  214384   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:14 AM  1000   4117992   14.00    2.00    0.00    0.00   16.00     6    320.00      0.00 2625112  215728   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:15 AM  1000   4117992   16.00    1.00    0.00    0.00   17.00     6     35.00      0.00 2625112  215728   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:35:16 AM  1000   4117992   15.00    2.00    0.00    0.00   17.00     8    193.00      0.00 2625748  216496   0.66  fastlio_mapping

