Linux 6.8.0-87-generic (jschoi) 	09/13/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:49 PM  1000   4071028    3.00    2.00    0.00    0.00    5.00    10   4016.00      1.00 2620424  167672   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:50 PM  1000   4071028   10.00    4.00    0.00    0.00   14.00     9   2004.00      0.00 2620424  175736   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:51 PM  1000   4071028   14.00    2.00    0.00    0.00   16.00     9   1200.00      0.00 2620692  180536   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:52 PM  1000   4071028   14.00    2.00    0.00    0.00   16.00     9    989.00      0.00 2620692  184376   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:53 PM  1000   4071028   13.00    2.00    0.00    0.00   15.00    12    727.00      0.00 2621524  187064   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:54 PM  1000   4071028   15.00    1.00    0.00    0.00   16.00    12    251.00      0.00 2621524  188216   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:55 PM  1000   4071028   14.00    2.00    0.00    0.00   16.00     9     50.00      0.00 2621524  188216   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:56 PM  1000   4071028   14.00    2.00    0.00    0.00   16.00    12    433.00      0.00 2621688  189752   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:57 PM  1000   4071028   13.00    2.00    0.00    0.00   15.00     9    237.00      0.00 2621688  190520   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:58 PM  1000   4071028   14.00    2.00    0.00    0.00   16.00     9    129.00      0.00 2621688  190904   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:57:59 PM  1000   4071028   13.00    2.00    0.00    0.00   15.00    12     24.00      0.00 2621688  190904   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:58:00 PM  1000   4071028   13.00    2.00    0.00    0.00   15.00    15     65.00      0.00 2621688  191480   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:58:01 PM  1000   4071028   14.00    3.00    0.00    0.00   17.00    15     63.00      0.00 2621824  191864   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:58:02 PM  1000   4071028   12.00    2.00    0.00    0.00   14.00    15     72.00      0.00 2621824  192248   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:58:03 PM  1000   4071028   16.00    1.00    0.00    0.00   17.00    15     81.00      0.00 2622140  192440   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:58:04 PM  1000   4071028   12.00    2.00    0.00    0.00   14.00     0     24.00      0.00 2622140  192632   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:58:05 PM  1000   4071028   15.00    2.00    0.00    0.00   17.00    15    127.00      0.00 2622140  193208   0.59  fastlio_mapping

