Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:49 AM  1000   4091159    4.00    1.00    0.00    0.00    5.00    10   4851.00      0.00 2620408  171112   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:50 AM  1000   4091159   13.00    4.00    0.00    0.00   17.00    12   2930.00      0.00 2621048  183208   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:51 AM  1000   4091159   18.00    1.00    0.00    0.00   19.00     8   1771.00      0.00 2621760  189736   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:52 AM  1000   4091159   18.00    2.00    0.00    0.00   20.00     0    999.00      0.00 2621792  193088   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:53 AM  1000   4091159   17.00    1.00    0.00    0.00   18.00     0    438.00      0.00 2621792  194624   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:54 AM  1000   4091159   15.00    3.00    0.00    0.00   18.00     2    479.00      0.00 2621824  196544   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:55 AM  1000   4091159   14.00    3.00    0.00    0.00   17.00    14    378.00      0.00 2621828  198080   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:56 AM  1000   4091159   17.00    2.00    0.00    0.00   19.00     4    379.00      0.00 2621828  199616   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:57 AM  1000   4091159   11.00    2.00    0.00    0.00   13.00     4     92.00      0.00 2621828  200000   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:58 AM  1000   4091159   16.00    2.00    0.00    0.00   18.00     6    405.00      0.00 2622148  201536   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:59 AM  1000   4091159   15.00    2.00    0.00    0.00   17.00     6    130.00      0.00 2622148  201920   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:14:00 AM  1000   4091159   17.00    2.00    0.00    0.00   19.00     8      0.00      0.00 2622148  201920   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:14:01 AM  1000   4091159   17.00    3.00    0.00    0.00   20.00    14    130.00      0.00 2622148  202496   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:14:02 AM  1000   4091159   15.00    1.00    0.00    0.00   16.00    14     45.00      0.00 2622148  202496   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:14:03 AM  1000   4091159   16.00    2.00    0.00    0.00   18.00    12    234.00      0.00 2622552  203264   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:14:04 AM  1000   4091159   17.00    2.00    0.00    0.00   19.00    14     72.00      0.00 2622568  203456   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:14:05 AM  1000   4091159   16.00    2.00    0.00    0.00   18.00     0     79.00      0.00 2622568  204032   0.63  fastlio_mapping

