Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:37 AM  1000    670824    8.00    4.00    0.00    0.00   12.00    12  10278.00      0.00 2618108  184132   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:38 AM  1000    670824   30.00    5.00    0.00    0.00   35.00     2  10503.00      0.00 2616508  205432   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:39 AM  1000    670824   33.00    5.00    0.00    0.00   38.00     4   7885.00      0.00 2615964  211308   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:40 AM  1000    670824   32.00    4.00    0.00    0.00   36.00     0   4495.00      0.00 2617556  214848   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:41 AM  1000    670824   28.00    4.00    0.00    0.00   32.00     3   3717.00      0.00 2617556  216636   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:42 AM  1000    670824   32.00    3.00    0.00    0.00   35.00     3   3547.00      0.00 2616152  218436   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:43 AM  1000    670824   32.00    3.00    0.00    0.00   35.00     3   2495.00      0.00 2616180  217768   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:44 AM  1000    670824   32.00    3.00    0.00    0.00   35.00     3   5563.00      0.00 2616180  221760   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:45 AM  1000    670824   31.00    3.00    0.00    0.00   34.00     3   3807.00      0.00 2616180  217484   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:46 AM  1000    670824   29.00    4.00    0.00    0.00   33.00     3   4353.00      0.00 2616180  215796   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:47 AM  1000    670824   32.00    4.00    0.00    0.00   36.00     8   5522.00      0.00 2616304  215496   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:48 AM  1000    670824   31.00    4.00    0.00    0.00   35.00     9   3354.00      0.00 2617976  217196   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:49 AM  1000    670824   32.00    4.00    0.00    0.00   36.00     6   6601.00      0.00 2617976  219640   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:50 AM  1000    670824   30.00    4.00    0.00    0.00   34.00     4   4610.00      0.00 2618536  219608   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:51 AM  1000    670824   31.00    4.00    0.00    0.00   35.00    14   5287.00      0.00 2618536  225776   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:52 AM  1000    670824   28.00    4.00    0.00    0.00   32.00    14   3690.00      0.00 2618536  223284   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:13:53 AM  1000    670824   29.00    5.00    0.00    0.00   34.00    14   4209.00      0.00 2617148  227156   0.70  fastlio_mapping

