Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:32:53 AM  1000    695042    6.00    3.00    0.00    0.00    9.00    14   6314.00      0.00 2616172  178792   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:32:54 AM  1000    695042   16.00    4.00    0.00    0.00   20.00    14   7993.00      0.00 2616172  197852   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:32:55 AM  1000    695042   21.00    3.00    0.00    0.00   24.00     2   4766.00      0.00 2616184  208628   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:32:56 AM  1000    695042   19.00    4.00    0.00    0.00   23.00     4   4343.00      0.00 2616192  211676   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:32:57 AM  1000    695042   18.00    3.00    0.00    0.00   21.00    12   2741.00      0.00 2618156  215952   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:32:58 AM  1000    695042   21.00    2.00    0.00    0.00   23.00     4   1626.00      0.00 2616244  218652   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:32:59 AM  1000    695042   19.00    2.00    0.00    0.00   21.00    12   2291.00      0.00 2616244  222384   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:33:00 AM  1000    695042   19.00    3.00    0.00    0.00   22.00    14   1650.00      0.00 2616244  220168   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:33:01 AM  1000    695042   19.00    3.00    0.00    0.00   22.00    12   1777.00      0.00 2616244  221704   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:33:02 AM  1000    695042   20.00    3.00    0.00    0.00   23.00    14   1131.00      0.00 2616244  224356   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:33:03 AM  1000    695042   20.00    3.00    0.00    0.00   23.00     1   1399.00      0.00 2616700  224340   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:33:04 AM  1000    695042   20.00    2.00    0.00    0.00   22.00     1   1253.00      0.00 2616700  225776   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:33:05 AM  1000    695042   20.00    3.00    0.00    0.00   23.00     1    949.00      0.00 2616700  223660   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
