Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:20 AM  1000    719305    6.00    4.00    0.00    0.00   10.00     6   7343.00      0.00 2615992  180988   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:21 AM  1000    719305   25.00    5.00    0.00    0.00   30.00     0   8590.00      0.00 2618008  198524   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:22 AM  1000    719305   26.00    4.00    0.00    0.00   30.00     4   5676.00      0.00 2618024  208244   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:23 AM  1000    719305   21.00    4.00    0.00    0.00   25.00     4   2757.00      0.00 2618260  213392   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:24 AM  1000    719305   28.00    2.00    0.00    0.00   30.00     2   3357.00      0.00 2618268  211876   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:25 AM  1000    719305   24.00    4.00    0.00    0.00   28.00     4   2735.00      0.00 2618268  217316   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:26 AM  1000    719305   27.00    3.00    0.00    0.00   30.00     4   1946.00      0.00 2618268  215608   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:27 AM  1000    719305   22.00    3.00    0.00    0.00   25.00    10   2992.00      0.00 2618656  223324   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:28 AM  1000    719305   25.00    3.00    0.00    0.00   28.00     7   1763.00      0.00 2618160  223288   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:29 AM  1000    719305   25.00    2.00    0.00    0.00   27.00     6   1102.00      0.00 2618160  220752   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:30 AM  1000    719305   25.00    3.00    0.00    0.00   28.00     4   3272.00      0.00 2618188  222448   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:31 AM  1000    719305   23.00    3.00    0.00    0.00   26.00    12   1511.00      0.00 2618324  221416   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:32 AM  1000    719305   23.00    2.00    0.00    0.00   25.00    12   2389.00      0.00 2618652  220608   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:33 AM  1000    719305   27.00    3.00    0.00    0.00   30.00     6   2841.00      0.00 2618652  219504   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:34 AM  1000    719305   25.00    3.00    0.00    0.00   28.00     0   3523.00      0.00 2618656  224428   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:35 AM  1000    719305   25.00    3.00    0.00    0.00   28.00     4   2470.00      0.00 2617608  224212   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:52:36 AM  1000    719305   23.00    3.00    0.00    0.00   26.00     8   2849.00      0.00 2617608  227768   0.70  fastlio_mapping

