Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:38 AM  1000    786275    7.92    1.98    0.00    0.00    9.90    12   8640.59      0.00 2615868  186136   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:39 AM  1000    786275   26.00    4.00    0.00    0.00   30.00     2   7725.00      0.00 2615916  212108   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:40 AM  1000    786275   26.00    4.00    0.00    0.00   30.00     6   4346.00      0.00 2615968  216316   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:41 AM  1000    786275   24.00    4.00    0.00    0.00   28.00     8   2979.00      0.00 2617092  219148   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:42 AM  1000    786275   23.00    3.00    0.00    0.00   26.00     6   3480.00      0.00 2615980  219456   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:43 AM  1000    786275   23.00    3.00    0.00    0.00   26.00    10   2297.00      0.00 2617284  221092   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:44 AM  1000    786275   25.00    4.00    0.00    0.00   29.00    12   2920.00      0.00 2617284  219636   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:45 AM  1000    786275   22.00    3.00    0.00    0.00   25.00    14   5238.00      0.00 2616224  220164   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:46 AM  1000    786275   26.00    2.00    0.00    0.00   28.00     5   2414.00      0.00 2616224  219964   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:47 AM  1000    786275   25.00    3.00    0.00    0.00   28.00     5   3843.00      0.00 2618096  219828   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:48 AM  1000    786275   25.00    3.00    0.00    0.00   28.00     5   4271.00      0.00 2618840  216724   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:49 AM  1000    786275   25.00    4.00    0.00    0.00   29.00     5   5160.00      0.00 2617444  224928   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:50 AM  1000    786275   27.00    3.00    0.00    0.00   30.00     5   2425.00      0.00 2618836  222448   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:51 AM  1000    786275   19.00    2.00    0.00    0.00   21.00     5   3357.00      0.00 2618836  222292   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:52 AM  1000    786275   23.00    2.00    0.00    0.00   25.00     5   2823.00      0.00 2618836  225744   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:53 AM  1000    786275   19.00    3.00    0.00    0.00   22.00     5   3844.00      0.00 2617444  225352   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:54 AM  1000    786275   24.00    3.00    0.00    0.00   27.00    12   3801.00      0.00 2617444  226696   0.70  fastlio_mapping

