Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:31 AM  1000    814889    2.00    1.00    0.00    0.00    3.00    10     67.00      0.00 2614228  157632   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:32 AM  1000    814889   16.00    5.00    0.00    0.00   21.00     3  15192.00      0.00 2618420  212240   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:33 AM  1000    814889   26.00    3.00    0.00    0.00   29.00     3   3097.00      0.00 2618336  217460   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:34 AM  1000    814889   22.00    4.00    0.00    0.00   26.00     3   1989.00      0.00 2617208  216188   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:35 AM  1000    814889   24.00    2.00    0.00    0.00   26.00     3   2667.00      0.00 2617208  220956   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:36 AM  1000    814889   25.00    3.00    0.00    0.00   28.00     6   3424.00      0.00 2617208  223212   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:37 AM  1000    814889   25.00    4.00    0.00    0.00   29.00    12   1821.00      0.00 2617208  225580   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:38 AM  1000    814889   26.00    3.00    0.00    0.00   29.00     2   2259.00      0.00 2619508  223376   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:39 AM  1000    814889   25.00    3.00    0.00    0.00   28.00    14   2744.00      0.00 2619508  224800   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:40 AM  1000    814889   26.00    4.00    0.00    0.00   30.00     0   3745.00      0.00 2619508  228048   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:41 AM  1000    814889   26.00    2.00    0.00    0.00   28.00     4   2763.00      0.00 2619852  227620   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:42 AM  1000    814889   25.00    5.00    0.00    0.00   30.00     4   3155.00      0.00 2620552  229872   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:43 AM  1000    814889   25.00    3.00    0.00    0.00   28.00     4   1972.00      0.00 2619516  230188   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:44 AM  1000    814889   25.00    2.00    0.00    0.00   27.00     2   3302.00      0.00 2619516  222680   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:45 AM  1000    814889   25.00    3.00    0.00    0.00   28.00    10   4844.00      0.00 2620616  227308   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:46 AM  1000    814889   26.00    3.00    0.00    0.00   29.00    10   3349.00      0.00 2619240  228064   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:08:47 AM  1000    814889   27.00    2.00    0.00    0.00   29.00     8   3921.00      0.00 2620640  227892   0.70  fastlio_mapping

