Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:41:53 AM  1000    856637   10.00    3.00    0.00    0.00   13.00    10  12251.00      0.00 2617532  194680   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:41:54 AM  1000    856637   27.00    4.00    0.00    0.00   31.00    10  10961.00      0.00 2617532  227152   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:41:55 AM  1000    856637   40.00    3.00    0.00    0.00   43.00    14   3858.00      0.00 2618040  225192   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:41:56 AM  1000    856637   35.00    4.00    0.00    0.00   39.00     9   7022.00      0.00 2616148  230332   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:41:57 AM  1000    856637   38.00    4.00    0.00    0.00   42.00     8   4882.00      0.00 2617840  233768   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:41:58 AM  1000    856637   31.00    3.00    0.00    0.00   34.00     9   4305.00      0.00 2618176  234512   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:41:59 AM  1000    856637   28.00    5.00    0.00    0.00   33.00     9   5473.00      0.00 2618176  227924   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:00 AM  1000    856637   30.00    4.00    0.00    0.00   34.00     9   6057.00      0.00 2618176  236044   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:01 AM  1000    856637   36.00    4.00    0.00    0.00   40.00     9   3762.00      0.00 2617604  243480   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:02 AM  1000    856637   34.00    5.00    0.00    0.00   39.00     9   3670.00      0.00 2619476  242544   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:03 AM  1000    856637   28.00    4.00    0.00    0.00   32.00     9   5991.00      0.00 2617616  240980   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:04 AM  1000    856637   32.00    4.00    0.00    0.00   36.00     9   3227.00      0.00 2618640  242512   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:05 AM  1000    856637   37.00    4.00    0.00    0.00   41.00     9   4407.00      0.00 2618640  245072   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
