Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:43 AM  1000    861582   11.00    3.00    0.00    0.00   14.00    12  14179.00      0.00 2692952  203280   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:44 AM  1000    861582   27.00    3.00    0.00    0.00   30.00    12   9767.00      0.00 2693720  224788   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:45 AM  1000    861582   37.00    3.00    0.00    0.00   40.00    14   6721.00      0.00 2693764  228712   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:46 AM  1000    861582   38.00    6.00    0.00    0.00   44.00    14   7459.00      0.00 2693784  229752   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:47 AM  1000    861582   39.00    5.00    0.00    0.00   44.00    10   5663.00      0.00 2695260  235276   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:48 AM  1000    861582   39.00    3.00    0.00    0.00   42.00    12   4416.00      0.00 2695544  236316   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:49 AM  1000    861582   38.00    4.00    0.00    0.00   42.00    12   6907.00      0.00 2695704  234404   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:50 AM  1000    861582   35.00    3.00    0.00    0.00   38.00     0   6922.00      0.00 2695852  244428   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:51 AM  1000    861582   42.00    3.00    0.00    0.00   45.00    10   7701.00      0.00 2695876  247496   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:52 AM  1000    861582   43.00    2.00    0.00    0.00   45.00     7   4564.00      0.00 2695876  248220   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:53 AM  1000    861582   40.00    3.00    0.00    0.00   43.00     7   4828.00      0.00 2695876  252840   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:54 AM  1000    861582   43.00    3.00    0.00    0.00   46.00    13   5341.00      0.00 2696436  248520   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:55 AM  1000    861582   37.00    4.00    0.00    0.00   41.00    13   8497.00      0.00 2698956  261396   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:56 AM  1000    861582   42.00    4.00    0.00    0.00   46.00     0   7625.00      0.00 2699176  267320   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:57 AM  1000    861582   35.00    2.00    0.00    0.00   37.00     8   5535.00      0.00 2697740  269420   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:58 AM  1000    861582   37.00    3.00    0.00    0.00   40.00     0   3928.00      0.00 2699240  269200   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:45:59 AM  1000    861582   36.00    2.00    0.00    0.00   38.00     2   2446.00      0.00 2699312  278608   0.85  fastlio_mapping

