Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:21 AM  1000    844485   12.00    7.00    0.00    0.00   19.00    14  41209.00      0.00 2551808  199292   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:22 AM  1000    844485   36.00    6.00    0.00    0.00   42.00     8   8838.00      0.00 2619544  220020   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:23 AM  1000    844485   34.00    4.00    0.00    0.00   38.00     1   6392.00      0.00 2619544  219420   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:24 AM  1000    844485   36.00    4.00    0.00    0.00   40.00    14   5063.00      0.00 2619588  224132   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:25 AM  1000    844485   31.00    4.00    0.00    0.00   35.00     2   5850.00      0.00 2619588  228552   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:26 AM  1000    844485   41.00    4.00    0.00    0.00   45.00    14   6225.00      0.00 2620044  223800   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:27 AM  1000    844485   34.00    4.00    0.00    0.00   38.00     2   5656.00      0.00 2620044  240692   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:28 AM  1000    844485   32.00    4.00    0.00    0.00   36.00     8   4020.00      0.00 2620332  243680   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:29 AM  1000    844485   37.00    3.00    0.00    0.00   40.00    10   4397.00      0.00 2619320  249380   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:30 AM  1000    844485   37.00    5.00    0.00    0.00   42.00     6   4673.00      0.00 2619384  252504   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:31 AM  1000    844485   39.00    4.00    0.00    0.00   43.00    10   4812.00      0.00 2621032  258752   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:32 AM  1000    844485   39.00    2.00    0.00    0.00   41.00     2   5108.00      0.00 2621704  258224   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:33 AM  1000    844485   35.00    4.00    0.00    0.00   39.00     8   3863.00      0.00 2620196  259748   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:34 AM  1000    844485   35.00    4.00    0.00    0.00   39.00     8   6315.00      0.00 2620252  264436   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:35 AM  1000    844485   34.00    3.00    0.00    0.00   37.00    14   3046.00      0.00 2620304  268684   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:36 AM  1000    844485   34.00    3.00    0.00    0.00   37.00     6   3305.00      0.00 2620348  267872   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:32:37 AM  1000    844485   35.00    4.00    0.00    0.00   39.00     6   2755.00      0.00 2620348  272528   0.84  fastlio_mapping

