Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:08 AM  1000    849367   10.00    3.00    0.00    0.00   13.00     4  13565.00      0.00 2615688  201644   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:09 AM  1000    849367   30.00    4.00    0.00    0.00   34.00    12  11366.00      0.00 2618552  225912   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:10 AM  1000    849367   38.00    5.00    0.00    0.00   43.00    12   7032.00      0.00 2618552  228848   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:11 AM  1000    849367   36.00    3.00    0.00    0.00   39.00    10   4929.00      0.00 2618596  230092   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:12 AM  1000    849367   35.00    6.00    0.00    0.00   41.00     4   7248.00      0.00 2617188  235940   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:13 AM  1000    849367   39.00    4.00    0.00    0.00   43.00     6   7347.00      0.00 2618740  245548   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:14 AM  1000    849367   39.00    4.00    0.00    0.00   43.00     4   5347.00      0.00 2617224  250828   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:15 AM  1000    849367   44.00    2.00    0.00    0.00   46.00    12   3107.00      0.00 2619324  255996   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:16 AM  1000    849367   39.00    5.00    0.00    0.00   44.00     2   4911.00      0.00 2620048  258516   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:17 AM  1000    849367   39.00    3.00    0.00    0.00   42.00     2   3758.00      0.00 2618728  265500   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:18 AM  1000    849367   36.00    3.00    0.00    0.00   39.00     6   2718.00      0.00 2618804  267528   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:19 AM  1000    849367   37.00    3.00    0.00    0.00   40.00     6   4510.00      0.00 2619084  266424   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:20 AM  1000    849367   34.00    3.00    0.00    0.00   37.00     6   3086.00      0.00 2621044  269192   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:21 AM  1000    849367   41.00    3.00    0.00    0.00   44.00    11   4197.00      0.00 2620884  273988   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:22 AM  1000    849367   37.00    3.00    0.00    0.00   40.00    11   1934.00      0.00 2620884  275932   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:23 AM  1000    849367   39.00    2.00    0.00    0.00   41.00     0   2029.00      0.00 2624268  281664   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:36:24 AM  1000    849367   32.00    4.00    0.00    0.00   36.00     2   2176.00      0.00 2624268  285264   0.88  fastlio_mapping

