Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:35 AM  1000    867859    2.00    3.00    0.00    0.00    5.00    12   1635.00      0.00 2616280  160396   0.49  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:36 AM  1000    867859   31.00    5.00    0.00    0.00   36.00     0  18543.00      0.00 2618584  222312   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:37 AM  1000    867859   36.00    3.00    0.00    0.00   39.00     2   5567.00      0.00 2618584  230712   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:38 AM  1000    867859   38.00    3.00    0.00    0.00   41.00     2   3787.00      0.00 2618584  230940   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:39 AM  1000    867859   40.00    3.00    0.00    0.00   43.00     2   2764.00      0.00 2618584  230280   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:40 AM  1000    867859   32.00    3.00    0.00    0.00   35.00     6   4816.00      0.00 2618584  234860   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:41 AM  1000    867859   33.00    4.00    0.00    0.00   37.00     0   3638.00      0.00 2617804  240332   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:42 AM  1000    867859   28.00    3.00    0.00    0.00   31.00     6   2326.00      0.00 2618636  236920   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:43 AM  1000    867859   33.00    6.00    0.00    0.00   39.00    14   4549.00      0.00 2619560  238160   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:44 AM  1000    867859   33.00    4.00    0.00    0.00   37.00     8   6201.00      0.00 2620468  243436   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:45 AM  1000    867859   35.00    3.00    0.00    0.00   38.00     2   4000.00      0.00 2618776  241804   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:46 AM  1000    867859   32.00    4.00    0.00    0.00   36.00     8   6161.00      0.00 2620564  248564   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:47 AM  1000    867859   36.00    3.00    0.00    0.00   39.00     4   4422.00      0.00 2620436  252068   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:48 AM  1000    867859   34.00    5.00    0.00    0.00   39.00     8   3593.00      0.00 2620900  251376   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:49 AM  1000    867859   31.00    3.00    0.00    0.00   34.00     6   4405.00      0.00 2620900  253796   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:50 AM  1000    867859   39.00    3.00    0.00    0.00   42.00    12   4817.00      0.00 2620900  251468   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:51 AM  1000    867859   35.00    4.00    0.00    0.00   39.00     6   6703.00      0.00 2620900  255452   0.78  fastlio_mapping

