Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:42 AM  1000    873161    9.00    3.00    0.00    0.00   12.00    14  13100.00      0.00 2617176  195928   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:43 AM  1000    873161   36.00    4.00    0.00    0.00   40.00    10  10293.00      0.00 2620100  223344   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:44 AM  1000    873161   34.00    4.00    0.00    0.00   38.00     2   5251.00      0.00 2620100  226672   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:45 AM  1000    873161   39.00    4.00    0.00    0.00   43.00     8   5037.00      0.00 2620100  229984   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:46 AM  1000    873161   38.00    3.00    0.00    0.00   41.00    10   4602.00      0.00 2620604  232224   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:47 AM  1000    873161   35.00    3.00    0.00    0.00   38.00    12   5479.00      0.00 2620612  234524   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:48 AM  1000    873161   43.00    3.00    0.00    0.00   46.00     0   5633.00      0.00 2620612  239112   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:49 AM  1000    873161   38.00    4.00    0.00    0.00   42.00     6   7414.00      0.00 2621932  247556   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:50 AM  1000    873161   43.00    3.00    0.00    0.00   46.00     6   4308.00      0.00 2621932  248560   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:51 AM  1000    873161   40.00    2.00    0.00    0.00   42.00    11   6354.00      0.00 2621932  247240   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:52 AM  1000    873161   41.00    4.00    0.00    0.00   45.00    11   7698.00      0.00 2621932  256072   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:53 AM  1000    873161   44.00    2.00    0.00    0.00   46.00    12   7544.00      0.00 2622480  256424   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:54 AM  1000    873161   45.00    3.00    0.00    0.00   48.00    11   5908.00      0.00 2623680  265072   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:55 AM  1000    873161   40.00    2.00    0.00    0.00   42.00    11   2898.00      0.00 2623684  268228   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:56 AM  1000    873161   38.00    3.00    0.00    0.00   41.00    11   2772.00      0.00 2625276  274668   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:57 AM  1000    873161   36.00    2.00    0.00    0.00   38.00     0   1130.00      0.00 2625368  279276   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:54:58 AM  1000    873161   36.00    2.00    0.00    0.00   38.00    10    821.00      0.00 2625452  282540   0.87  fastlio_mapping

