Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:20 PM  1000      8656    4.95    2.97    0.00    0.00    7.92    11   6961.39      4.95 2620920  179648   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:21 PM  1000      8656   16.00    3.00    0.00    0.00   19.00    14   3455.00      0.00 2621248  192340   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:22 PM  1000      8656   19.00    3.00    0.00    0.00   22.00     9   2028.00      0.00 2621772  200020   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:23 PM  1000      8656   20.00    1.00    0.00    0.00   21.00     9    426.00      0.00 2621772  202132   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:24 PM  1000      8656   19.00    3.00    0.00    0.00   22.00     9    878.00      0.00 2622424  205396   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:25 PM  1000      8656   17.00    1.00    0.00    0.00   18.00     9    865.00      0.00 2622424  209044   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:26 PM  1000      8656   20.00    2.00    0.00    0.00   22.00     9    188.00      0.00 2622424  209812   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:27 PM  1000      8656   18.00    2.00    0.00    0.00   20.00     9    396.00      0.00 2622424  211540   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:28 PM  1000      8656   18.00    1.00    0.00    0.00   19.00     2    220.00      0.00 2622424  212308   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:29 PM  1000      8656   19.00    2.00    0.00    0.00   21.00     9    333.00      0.00 2622424  213652   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:30 PM  1000      8656   17.00    2.00    0.00    0.00   19.00     9     86.00      0.00 2622428  213844   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:31 PM  1000      8656   18.00    2.00    0.00    0.00   20.00     9    158.00      0.00 2622608  214420   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:32 PM  1000      8656   19.00    1.00    0.00    0.00   20.00     2    191.00      0.00 2622608  215188   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:33 PM  1000      8656   21.00    1.00    0.00    0.00   22.00     9    201.00      0.00 2623360  215764   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:34 PM  1000      8656   18.00    2.00    0.00    0.00   20.00    10    345.00      0.00 2624696  217108   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:35 PM  1000      8656   18.00    1.00    0.00    0.00   19.00     0    100.00      0.00 2624696  217300   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:29:36 PM  1000      8656   19.00    2.00    0.00    0.00   21.00    10    321.00      0.00 2624992  218644   0.67  fastlio_mapping

