Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:00 PM  1000     12927    6.00    2.00    0.00    0.00    8.00    14   4310.00      0.00 2620584  170408   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:01 PM  1000     12927   13.00    2.00    0.00    0.00   15.00    14   2442.00      0.00 2620584  175088   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:02 PM  1000     12927   13.00    4.00    0.00    0.00   17.00    14   2297.00      0.00 2621464  176888   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:03 PM  1000     12927   15.00    2.00    0.00    0.00   17.00     2   1426.00      0.00 2621464  178696   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:04 PM  1000     12927   14.00    3.00    0.00    0.00   17.00     0   1370.00      0.00 2622012  180964   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:05 PM  1000     12927   15.00    2.00    0.00    0.00   17.00    14   1633.00      0.00 2622012  180716   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:06 PM  1000     12927   14.00    3.00    0.00    0.00   17.00     0   1331.00      0.00 2622044  183952   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:07 PM  1000     12927   14.00    3.00    0.00    0.00   17.00     0    811.00      0.00 2622044  187024   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:08 PM  1000     12927   14.00    1.00    0.00    0.00   15.00    14    931.00      0.00 2623008  190864   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:09 PM  1000     12927   13.00    3.00    0.00    0.00   16.00     8    308.00      0.00 2623008  192016   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:10 PM  1000     12927   15.00    2.00    0.00    0.00   17.00     8    285.00      0.00 2623008  192976   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:11 PM  1000     12927   15.00    1.00    0.00    0.00   16.00    12     12.00      0.00 2623008  193168   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:12 PM  1000     12927   13.00    2.00    0.00    0.00   15.00    12    316.00      0.00 2623008  194320   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:13 PM  1000     12927   14.00    2.00    0.00    0.00   16.00     8     71.00      0.00 2623008  194704   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:14 PM  1000     12927   15.00    1.00    0.00    0.00   16.00    14     22.00      0.00 2623008  194704   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:15 PM  1000     12927   16.00    2.00    0.00    0.00   18.00     0    100.00      0.00 2623008  195088   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:38:16 PM  1000     12927   14.00    1.00    0.00    0.00   15.00    14     10.00      0.00 2623008  195088   0.60  fastlio_mapping

