Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:57 PM  1000     17472    3.00    2.00    0.00    0.00    5.00    11   2664.00      0.00 2620124  162200   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:58 PM  1000     17472   13.00    4.00    0.00    0.00   17.00    12   4285.00      0.00 2620732  178360   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:59 PM  1000     17472   15.00    2.00    0.00    0.00   17.00     0   1405.00      0.00 2622088  183928   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:00 PM  1000     17472   15.00    3.00    0.00    0.00   18.00    12   1525.00      0.00 2622088  190264   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:01 PM  1000     17472   17.00    1.00    0.00    0.00   18.00    12    733.00      0.00 2622088  193144   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:02 PM  1000     17472   16.00    2.00    0.00    0.00   18.00     8    403.00      0.00 2622088  194872   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:03 PM  1000     17472   16.00    2.00    0.00    0.00   18.00     4    309.00      0.00 2622088  196216   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:04 PM  1000     17472   15.00    2.00    0.00    0.00   17.00     4    438.00      0.00 2622088  197752   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:05 PM  1000     17472   15.00    2.00    0.00    0.00   17.00     4     94.00      0.00 2622088  198136   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:06 PM  1000     17472   15.00    2.00    0.00    0.00   17.00     6    131.00      0.00 2622088  198712   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:07 PM  1000     17472   15.00    2.00    0.00    0.00   17.00     6      3.00      0.00 2622088  198712   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:08 PM  1000     17472   16.00    2.00    0.00    0.00   18.00     6     30.00      0.00 2622096  198712   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:09 PM  1000     17472   17.00    2.00    0.00    0.00   19.00    12     69.00      0.00 2622096  198904   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:10 PM  1000     17472   16.00    2.00    0.00    0.00   18.00    12     46.00      0.00 2622096  199096   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:11 PM  1000     17472   17.00    1.00    0.00    0.00   18.00     4    108.00      0.00 2622296  199480   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:12 PM  1000     17472   13.86    1.98    0.00    0.00   15.84     4     38.61      0.00 2622296  199672   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:13 PM  1000     17472   17.00    2.00    0.00    0.00   19.00     4    238.00      0.00 2622296  200632   0.62  fastlio_mapping

