Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:07 PM  1000     22602    5.00    3.00    0.00    0.00    8.00    10   4913.00      0.00 2620648  171736   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:08 PM  1000     22602   14.00    3.00    0.00    0.00   17.00    12   2946.00      0.00 2620648  178256   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:09 PM  1000     22602   14.00    2.00    0.00    0.00   16.00     8   2668.00      0.00 2621100  181068   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:10 PM  1000     22602   17.00    2.00    0.00    0.00   19.00     4   1868.00      0.00 2620952  182432   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:11 PM  1000     22602   16.00    3.00    0.00    0.00   19.00     4   2403.00      0.00 2621308  183732   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:12 PM  1000     22602   16.00    3.00    0.00    0.00   19.00     2   2525.00      0.00 2621308  185976   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:13 PM  1000     22602   15.00    2.00    0.00    0.00   17.00     4   1863.00      0.00 2621624  186232   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:14 PM  1000     22602   18.00    2.00    0.00    0.00   20.00     2   2169.00      0.00 2621816  186680   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:15 PM  1000     22602   15.00    3.00    0.00    0.00   18.00     4   2277.00      0.00 2621848  188772   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:16 PM  1000     22602   15.00    3.00    0.00    0.00   18.00     6   1156.00      0.00 2621848  192804   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:17 PM  1000     22602   16.00    1.00    0.00    0.00   17.00     6   1226.00      0.00 2622508  197604   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:18 PM  1000     22602   16.00    2.00    0.00    0.00   18.00     6    426.00      0.00 2622508  199332   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:19 PM  1000     22602   13.00    2.00    0.00    0.00   15.00     2    269.00      0.00 2622508  200484   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:20 PM  1000     22602   14.00    2.00    0.00    0.00   16.00     4    436.00      0.00 2622508  202212   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:21 PM  1000     22602   12.00    2.00    0.00    0.00   14.00     6    492.00      0.00 2622508  204132   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
