Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:01:59 AM  1000     31228    4.00    1.00    0.00    0.00    5.00    14   2707.00      0.00 2620260  162660   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:00 AM  1000     31228   14.00    3.00    0.00    0.00   17.00    14   5938.00      0.00 2622788  185440   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:01 AM  1000     31228   18.00    4.00    0.00    0.00   22.00    14   3360.00      0.00 2622820  191288   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:02 AM  1000     31228   19.00    3.00    0.00    0.00   22.00     0   2140.00      0.00 2623080  199928   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:03 AM  1000     31228   19.00    2.00    0.00    0.00   21.00     4    901.00      0.00 2623080  203192   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:04 AM  1000     31228   19.00    4.00    0.00    0.00   23.00     2    762.00      0.00 2623080  206456   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:05 AM  1000     31228   17.00    2.00    0.00    0.00   19.00     4    342.00      0.00 2623096  207992   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:06 AM  1000     31228   20.00    2.00    0.00    0.00   22.00     4    126.00      0.00 2623436  208568   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:07 AM  1000     31228   19.00    2.00    0.00    0.00   21.00     6    220.00      0.00 2623436  209336   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:08 AM  1000     31228   18.00    3.00    0.00    0.00   21.00     6    267.00      0.00 2623436  210296   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:09 AM  1000     31228   15.00    4.00    0.00    0.00   19.00     8    127.00      0.00 2623436  210680   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:10 AM  1000     31228   16.00    2.00    0.00    0.00   18.00     6    177.00      0.00 2623436  211256   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:11 AM  1000     31228   14.00    4.00    0.00    0.00   18.00     4    372.00      0.00 2624992  212792   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:12 AM  1000     31228   19.00    2.00    0.00    0.00   21.00     4    223.00      0.00 2624992  213752   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:13 AM  1000     31228   19.00    2.00    0.00    0.00   21.00    14    243.00      0.00 2624992  214712   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:14 AM  1000     31228   18.00    2.00    0.00    0.00   20.00    12     90.00      0.00 2624992  214904   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:15 AM  1000     31228   20.00    2.00    0.00    0.00   22.00    12     33.00      0.00 2624992  214904   0.66  fastlio_mapping

