Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:10:57 AM  1000     42416    2.97    1.98    0.00    0.00    4.95     6   4250.50      0.99 2621500  168616   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:10:58 AM  1000     42416   10.00    3.00    0.00    0.00   13.00     8   2818.00      0.00 2621692  174432   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:10:59 AM  1000     42416   14.00    3.00    0.00    0.00   17.00    10   2297.00      0.00 2622508  181696   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:00 AM  1000     42416   15.00    2.00    0.00    0.00   17.00    14   1161.00      0.00 2622508  186112   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:01 AM  1000     42416   12.00    3.00    0.00    0.00   15.00    14    674.00      0.00 2622508  188416   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:02 AM  1000     42416   15.00    2.00    0.00    0.00   17.00    14    353.00      0.00 2622508  189952   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:03 AM  1000     42416   13.00    1.00    0.00    0.00   14.00    14    192.00      0.00 2622692  190912   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:04 AM  1000     42416   13.00    3.00    0.00    0.00   16.00     4     13.00      0.00 2622692  190912   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:05 AM  1000     42416   14.00    1.00    0.00    0.00   15.00     5    241.00      0.00 2622692  191872   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:06 AM  1000     42416   14.00    3.00    0.00    0.00   17.00     5     33.00      0.00 2622692  192064   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:07 AM  1000     42416   14.00    1.00    0.00    0.00   15.00     4     64.00      0.00 2622692  192256   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:08 AM  1000     42416   15.00    2.00    0.00    0.00   17.00     5     52.00      0.00 2622692  192448   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:09 AM  1000     42416   12.00    2.00    0.00    0.00   14.00     5    256.00      0.00 2622900  193408   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:10 AM  1000     42416   10.00    2.00    0.00    0.00   12.00     5      4.00      0.00 2622900  193408   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:11 AM  1000     42416   15.00    1.00    0.00    0.00   16.00     5    267.00      0.00 2622900  194560   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:12 AM  1000     42416   16.00    3.00    0.00    0.00   19.00     5     61.00      0.00 2622900  194752   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:11:13 AM  1000     42416   13.00    3.00    0.00    0.00   16.00     5     28.00      0.00 2622900  194944   0.60  fastlio_mapping

