Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:10 AM  1000     53936    1.00    1.00    0.00    0.00    2.00    12     39.00      0.00  914944  152832   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:11 AM  1000     53936    8.00    2.00    0.00    0.00   10.00     0   5379.00      0.00 2621264  173344   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:12 AM  1000     53936   13.00    2.00    0.00    0.00   15.00    14   2873.00      0.00 2621296  183872   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:13 AM  1000     53936   16.00    2.00    0.00    0.00   18.00     0   1372.00      0.00 2622176  189056   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:14 AM  1000     53936   14.00    3.00    0.00    0.00   17.00    14    916.00      0.00 2622176  192704   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:15 AM  1000     53936   17.00    2.00    0.00    0.00   19.00     4    578.00      0.00 2622176  195008   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:16 AM  1000     53936   16.00    3.00    0.00    0.00   19.00    14    300.00      0.00 2622176  196160   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:17 AM  1000     53936   14.00    3.00    0.00    0.00   17.00     8    150.00      0.00 2622176  196928   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:18 AM  1000     53936   15.00    2.00    0.00    0.00   17.00     6    120.00      0.00 2622176  197504   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:19 AM  1000     53936   14.00    3.00    0.00    0.00   17.00     6     52.00      0.00 2622176  197696   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:20 AM  1000     53936   14.00    1.00    0.00    0.00   15.00    14     36.00      0.00 2622176  197696   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:21 AM  1000     53936   15.00    2.00    0.00    0.00   17.00    12     22.00      0.00 2622176  197696   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:22 AM  1000     53936   15.00    2.00    0.00    0.00   17.00     0     59.00      0.00 2622176  198080   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:23 AM  1000     53936   15.00    2.00    0.00    0.00   17.00     0     91.00      0.00 2622176  198272   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:24 AM  1000     53936   13.00    1.00    0.00    0.00   14.00     4     95.00      0.00 2622176  198656   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:25 AM  1000     53936   13.00    3.00    0.00    0.00   16.00     6      6.00      0.00 2622180  198656   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:20:26 AM  1000     53936   15.00    2.00    0.00    0.00   17.00     4     73.00      0.00 2622524  198848   0.61  fastlio_mapping

