Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:00 PM  1000   1436910    7.00    2.00    0.00    0.00    9.00    14   5765.00      5.00 2620800  175004   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:01 PM  1000   1436910   14.00    3.00    0.00    0.00   17.00    14   2583.00      0.00 2620832  184156   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:02 PM  1000   1436910   15.00    2.00    0.00    0.00   17.00     0   1574.00      0.00 2620832  190300   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:03 PM  1000   1436910   17.00    3.00    0.00    0.00   20.00     4   1269.00      0.00 2621952  195292   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:04 PM  1000   1436910   16.00    2.00    0.00    0.00   18.00     4    497.00      0.00 2621968  197404   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:05 PM  1000   1436910   17.00    2.00    0.00    0.00   19.00    12    565.00      0.00 2621968  199708   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:06 PM  1000   1436910   15.00    3.00    0.00    0.00   18.00     8    270.00      0.00 2622460  200860   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:07 PM  1000   1436910   18.00    1.00    0.00    0.00   19.00     4    153.00      0.00 2622460  201436   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:08 PM  1000   1436910   18.00    1.00    0.00    0.00   19.00     6     19.00      0.00 2622460  201436   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:09 PM  1000   1436910   18.00    2.00    0.00    0.00   20.00    13    190.00      0.00 2622596  202204   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:10 PM  1000   1436910   18.00    2.00    0.00    0.00   20.00    13    121.00      0.00 2622596  202588   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:11 PM  1000   1436910   18.00    1.00    0.00    0.00   19.00     6    151.00      0.00 2622596  203164   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:12 PM  1000   1436910   16.00    2.00    0.00    0.00   18.00    12    124.00      0.00 2622596  203548   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:13 PM  1000   1436910   16.00    2.00    0.00    0.00   18.00    14     48.00      0.00 2622760  203548   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:14 PM  1000   1436910   18.00    2.00    0.00    0.00   20.00    14      3.00      0.00 2622760  203548   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:15 PM  1000   1436910   16.00    1.00    0.00    0.00   17.00    14     17.00      0.00 2622760  203740   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:02:16 PM  1000   1436910   15.00    4.00    0.00    0.00   19.00    12    142.00      0.00 2623788  204316   0.63  fastlio_mapping

