Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:10:58 PM  1000   1441388    6.00    2.00    0.00    0.00    8.00     4   5322.00      0.00 2620832  173360   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:10:59 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00    12   3242.00      0.00 2620832  186032   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:00 PM  1000   1441388   19.00    3.00    0.00    0.00   22.00     4   2232.00      0.00 2621848  193740   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:01 PM  1000   1441388   19.00    2.00    0.00    0.00   21.00     2    571.00      0.00 2621848  196044   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:02 PM  1000   1441388   14.00    3.00    0.00    0.00   17.00     2    971.00      0.00 2621848  199692   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:03 PM  1000   1441388    9.00    1.00    0.00    0.00   10.00     2    305.00      0.00 2621848  200652   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:04 PM  1000   1441388   18.00    3.00    0.00    0.00   21.00     6    340.00      0.00 2621848  202188   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:05 PM  1000   1441388   18.00    2.00    0.00    0.00   20.00    12    365.00      0.00 2621852  203724   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:06 PM  1000   1441388   17.00    1.00    0.00    0.00   18.00    12    168.00      0.00 2621852  204300   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:07 PM  1000   1441388   15.00    2.00    0.00    0.00   17.00     4    320.00      0.00 2621852  205452   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:08 PM  1000   1441388   17.00    1.00    0.00    0.00   18.00    10     69.00      0.00 2621852  205644   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:09 PM  1000   1441388   19.00    2.00    0.00    0.00   21.00    14    226.00      0.00 2622536  206604   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:10 PM  1000   1441388   15.00    2.00    0.00    0.00   17.00     6     85.00      0.00 2622768  206988   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:11 PM  1000   1441388   17.00    1.00    0.00    0.00   18.00    14     99.00      0.00 2622768  207372   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:12 PM  1000   1441388   20.00    3.00    0.00    0.00   23.00     8    309.00      0.00 2623952  208524   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
