Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:49 PM  1000   1425523    2.00    2.00    0.00    0.00    4.00    14    949.00      2.00 2613268  156288   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:50 PM  1000   1425523   12.00    3.00    0.00    0.00   15.00    14   8224.00      3.00 2622280  184560   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:51 PM  1000   1425523   22.00    3.00    0.00    0.00   25.00     0   4169.00      0.00 2688204  194192   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:52 PM  1000   1425523   23.00    3.00    0.00    0.00   26.00     8   2138.00      0.00 2688236  199452   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:53 PM  1000   1425523   21.00    2.00    0.00    0.00   23.00    12   1814.00      0.00 2688236  206748   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:54 PM  1000   1425523   19.00    2.00    0.00    0.00   21.00    12   1163.00      0.00 2688652  211164   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:55 PM  1000   1425523   20.00    2.00    0.00    0.00   22.00    12    661.00      0.00 2688652  213852   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:56 PM  1000   1425523   19.00    2.00    0.00    0.00   21.00    12    430.00      0.00 2688652  215580   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:57 PM  1000   1425523   22.00    2.00    0.00    0.00   24.00     6    254.00      0.00 2688652  216540   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:58 PM  1000   1425523   18.00    2.00    0.00    0.00   20.00     0    136.00      0.00 2688652  217116   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:39:59 PM  1000   1425523   22.00    2.00    0.00    0.00   24.00    14    119.00      0.00 2688860  217500   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:40:00 PM  1000   1425523   19.00    2.00    0.00    0.00   21.00     9    251.00      0.00 2688860  218652   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:40:01 PM  1000   1425523   21.00    2.00    0.00    0.00   23.00     8    269.00      0.00 2690324  219612   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:40:02 PM  1000   1425523   20.79    1.98    0.00    0.00   22.77    12    123.76      0.00 2690664  220188   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:40:03 PM  1000   1425523   15.00    2.00    0.00    0.00   17.00    14    164.00      0.00 2690664  220572   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:40:04 PM  1000   1425523   20.00    2.00    0.00    0.00   22.00    14     16.00      0.00 2690664  220572   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:40:05 PM  1000   1425523   18.00    2.00    0.00    0.00   20.00     8     42.00      0.00 2690664  220572   0.68  fastlio_mapping

