Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:14 PM  1000   1431291    7.00    3.00    0.00    0.00   10.00    11   5427.00      2.00 2620912  174372   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:15 PM  1000   1431291   17.00    3.00    0.00    0.00   20.00    12   3125.00      0.00 2620944  179096   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:16 PM  1000   1431291   11.00    1.00    0.00    0.00   12.00     5   1853.00      0.00 2621376  186392   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:17 PM  1000   1431291   13.86    2.97    0.00    0.00   16.83    12   1143.56      0.00 2621376  190808   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:18 PM  1000   1431291   19.00    1.00    0.00    0.00   20.00     8    668.00      0.00 2622148  193304   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:19 PM  1000   1431291   13.00    3.00    0.00    0.00   16.00     4    578.00      0.00 2622148  195608   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:20 PM  1000   1431291   17.00    3.00    0.00    0.00   20.00     6    311.00      0.00 2622148  196760   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:21 PM  1000   1431291   18.00    2.00    0.00    0.00   20.00     4    284.00      0.00 2622148  197912   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:22 PM  1000   1431291   13.00    3.00    0.00    0.00   16.00     6    291.00      0.00 2622148  199256   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:23 PM  1000   1431291   18.00    2.00    0.00    0.00   20.00     2     75.00      0.00 2622148  199640   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:24 PM  1000   1431291   18.00    1.00    0.00    0.00   19.00     2    162.00      0.00 2622148  200216   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:25 PM  1000   1431291   20.00    2.00    0.00    0.00   22.00    14    122.00      0.00 2622148  200792   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:26 PM  1000   1431291   12.00    1.00    0.00    0.00   13.00    10    279.00      0.00 2622148  201752   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:27 PM  1000   1431291   18.00    2.00    0.00    0.00   20.00     8     79.00      0.00 2622544  202136   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:28 PM  1000   1431291   17.00    2.00    0.00    0.00   19.00     2    218.00      0.00 2623960  201312   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:29 PM  1000   1431291   19.00    2.00    0.00    0.00   21.00     4    631.00      0.00 2624880  203808   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:51:30 PM  1000   1431291    9.00    0.00    0.00    0.00    9.00     0     35.00      0.00 2624880  203808   0.63  fastlio_mapping

