Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:23 PM  1000   1451820    7.00    2.00    0.00    0.00    9.00    10   7003.00      0.00 2621240  179944   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:24 PM  1000   1451820   17.00    3.00    0.00    0.00   20.00     9   3682.00      0.00 2622540  193532   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:25 PM  1000   1451820   22.00    2.00    0.00    0.00   24.00     9   2210.00      0.00 2622584  202172   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:26 PM  1000   1451820   20.00    3.00    0.00    0.00   23.00     9   1047.00      0.00 2622584  206204   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:27 PM  1000   1451820   20.00    3.00    0.00    0.00   23.00     9   1159.00      0.00 2622584  211004   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:28 PM  1000   1451820   20.00    2.00    0.00    0.00   22.00    10    569.00      0.00 2623348  213500   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:29 PM  1000   1451820   21.00    1.00    0.00    0.00   22.00     8    515.00      0.00 2623360  215228   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:30 PM  1000   1451820   20.00    2.00    0.00    0.00   22.00    14    302.00      0.00 2623836  216572   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:31 PM  1000   1451820   18.00    3.00    0.00    0.00   21.00    12    439.00      0.00 2623836  218492   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:32 PM  1000   1451820   22.00    2.00    0.00    0.00   24.00     6    224.00      0.00 2623836  219260   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:33 PM  1000   1451820   21.00    1.00    0.00    0.00   22.00     5    152.00      0.00 2623836  219836   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:34 PM  1000   1451820   21.00    1.00    0.00    0.00   22.00    10     98.00      0.00 2624180  220412   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:35 PM  1000   1451820   20.00    3.00    0.00    0.00   23.00    12    173.00      0.00 2624328  220988   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:36 PM  1000   1451820   21.00    1.00    0.00    0.00   22.00    14    147.00      0.00 2624328  221564   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:37 PM  1000   1451820   22.00    2.00    0.00    0.00   24.00     0    361.00      0.00 2626216  221124   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:38 PM  1000   1451820   20.00    1.00    0.00    0.00   21.00     0    632.00      0.00 2625696  221480   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:31:39 PM  1000   1451820   18.00    3.00    0.00    0.00   21.00     4    312.00      0.00 2625768  221756   0.68  fastlio_mapping

