Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:47 PM  1000   1456248    8.00    3.00    0.00    0.00   11.00     2   4661.00      0.00 2622608  171192   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:48 PM  1000   1456248   15.00    2.00    0.00    0.00   17.00    10   2580.00      0.00 2623088  177364   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:49 PM  1000   1456248   18.00    2.00    0.00    0.00   20.00     8   2682.00      0.00 2623108  182328   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:50 PM  1000   1456248   19.00    2.00    0.00    0.00   21.00    12   1938.00      0.00 2623108  184436   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:51 PM  1000   1456248   18.00    4.00    0.00    0.00   22.00    12   2103.00      0.00 2623340  185552   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:52 PM  1000   1456248   18.00    2.00    0.00    0.00   20.00    12   1723.00      0.00 2623340  185044   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:53 PM  1000   1456248   16.00    3.00    0.00    0.00   19.00    14   2023.00      0.00 2624264  190944   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:54 PM  1000   1456248   18.00    3.00    0.00    0.00   21.00     4    878.00      0.00 2624264  194784   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:55 PM  1000   1456248   18.00    1.00    0.00    0.00   19.00    12    604.00      0.00 2624264  196896   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:56 PM  1000   1456248   19.00    3.00    0.00    0.00   22.00    12    353.00      0.00 2624264  198240   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:57 PM  1000   1456248   16.00    2.00    0.00    0.00   18.00     8    607.00      0.00 2624416  200544   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:58 PM  1000   1456248   17.00    2.00    0.00    0.00   19.00    12     49.00      0.00 2624416  200928   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:39:59 PM  1000   1456248   20.00    1.00    0.00    0.00   21.00    12    173.00      0.00 2624580  201696   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:40:00 PM  1000   1456248   18.00    2.00    0.00    0.00   20.00    12    110.00      0.00 2624580  202080   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:40:01 PM  1000   1456248   18.00    1.00    0.00    0.00   19.00     0    174.00      0.00 2624580  202848   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:40:02 PM  1000   1456248   15.00    2.00    0.00    0.00   17.00    10     41.00      0.00 2624584  202848   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
