Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:25 PM  1000   1470949    5.00    2.00    0.00    0.00    7.00     8   4148.00      0.00 2621176  168504   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:26 PM  1000   1470949   13.00    2.00    0.00    0.00   15.00    14   3572.00      0.00 2621452  181496   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:27 PM  1000   1470949   17.00    3.00    0.00    0.00   20.00     6   1882.00      0.00 2622008  188984   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:28 PM  1000   1470949   14.00    2.00    0.00    0.00   16.00     2    911.00      0.00 2622008  192632   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:29 PM  1000   1470949   15.00    2.00    0.00    0.00   17.00     4    119.00      0.00 2622008  192824   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:30 PM  1000   1470949   16.00    2.00    0.00    0.00   18.00    10    591.00      0.00 2622708  195128   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:31 PM  1000   1470949   18.00    1.00    0.00    0.00   19.00     4    522.00      0.00 2622708  197048   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:32 PM  1000   1470949   16.00    3.00    0.00    0.00   19.00     8    331.00      0.00 2622712  198392   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:33 PM  1000   1470949   16.00    1.00    0.00    0.00   17.00     8    278.00      0.00 2622944  199544   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:34 PM  1000   1470949   15.00    2.00    0.00    0.00   17.00    10    326.00      0.00 2622944  201080   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:35 PM  1000   1470949   15.00    1.00    0.00    0.00   16.00     8     83.00      0.00 2622944  201272   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:36 PM  1000   1470949   14.00    2.00    0.00    0.00   16.00    10     51.00      0.00 2622944  201272   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:37 PM  1000   1470949   16.00    2.00    0.00    0.00   18.00     4     47.00      0.00 2622944  201464   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:38 PM  1000   1470949   16.00    2.00    0.00    0.00   18.00     4    180.00      0.00 2622944  202040   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:39 PM  1000   1470949   16.00    2.00    0.00    0.00   18.00     4    221.00      0.00 2623200  202808   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:40 PM  1000   1470949   14.00    2.00    0.00    0.00   16.00    10     22.00      0.00 2623200  203192   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:10:41 PM  1000   1470949   15.00    2.00    0.00    0.00   17.00    10    201.00      0.00 2623956  204152   0.63  fastlio_mapping

