Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:18 PM  1000   1476074    0.99    0.99    0.00    0.00    1.98    11     20.79      0.00  915496  152832   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:19 PM  1000   1476074    8.00    3.00    0.00    0.00   11.00    11   5268.00      0.00 2621368  173420   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:20 PM  1000   1476074   13.00    3.00    0.00    0.00   16.00    14   2949.00      0.00 2621368  179932   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:21 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00    14   2251.00      0.00 2621368  184436   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:22 PM  1000   1476074   16.00    3.00    0.00    0.00   19.00    14   2233.00      0.00 2621472  184348   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:23 PM  1000   1476074   16.00    3.00    0.00    0.00   19.00    14   2257.00      0.00 2621688  187456   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:24 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00    14   1852.00      0.00 2621880  188556   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:25 PM  1000   1476074   17.00    3.00    0.00    0.00   20.00    14   2378.00      0.00 2621880  188912   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:26 PM  1000   1476074   15.00    3.00    0.00    0.00   18.00    14   1724.00      0.00 2621880  189824   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:27 PM  1000   1476074   17.00    3.00    0.00    0.00   20.00    14   2272.00      0.00 2621912  192196   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:28 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00     0    955.00      0.00 2622360  195652   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:29 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00    14   1007.00      0.00 2623108  199684   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:30 PM  1000   1476074   18.00    1.00    0.00    0.00   19.00    14    890.00      0.00 2623108  203524   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:31 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00    14    344.00      0.00 2623108  204676   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:32 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00    14    316.00      0.00 2623108  205828   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:33 PM  1000   1476074   16.00    3.00    0.00    0.00   19.00     6    105.00      0.00 2623172  206404   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:34 PM  1000   1476074   17.00    1.00    0.00    0.00   18.00     8     32.00      0.00 2623172  206788   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:35 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00    10    299.00      0.00 2623172  207748   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:36 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00     8    197.00      0.00 2623772  208708   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:37 PM  1000   1476074   16.00    2.00    0.00    0.00   18.00     6    303.00      0.00 2625080  209860   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:38 PM  1000   1476074   16.00    1.00    0.00    0.00   17.00     0    276.00      0.00 2625080  211204   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:39 PM  1000   1476074   18.00    2.00    0.00    0.00   20.00    14    197.00      0.00 2625080  211588   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:20:40 PM  1000   1476074   17.00    2.00    0.00    0.00   19.00     2    149.00      0.00 2625348  211972   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
