Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:35 AM  1000    509037    6.93    2.97    0.00    0.00    9.90     4   6504.95      0.00 2620672  175156   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:36 AM  1000    509037   22.00    4.00    0.00    0.00   26.00     5   6094.00      0.00 2622440  194040   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:37 AM  1000    509037   24.00    2.00    0.00    0.00   26.00     0   1532.00      0.00 2622440  199800   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:38 AM  1000    509037   23.00    3.00    0.00    0.00   26.00     2    988.00      0.00 2623056  204216   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:39 AM  1000    509037   22.00    2.00    0.00    0.00   24.00     4    879.00      0.00 2623056  207480   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:40 AM  1000    509037   24.00    3.00    0.00    0.00   27.00     6   1140.00      0.00 2623096  211148   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:41 AM  1000    509037   20.00    3.00    0.00    0.00   23.00     6    309.00      0.00 2623240  211916   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:42 AM  1000    509037   19.00    2.00    0.00    0.00   21.00     6    246.00      0.00 2623240  212876   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:43 AM  1000    509037   20.00    2.00    0.00    0.00   22.00    13    106.00      0.00 2623240  213260   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:44 AM  1000    509037   18.00    3.00    0.00    0.00   21.00    13    275.00      0.00 2623244  214412   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:45 AM  1000    509037   27.00    2.00    0.00    0.00   29.00     9    707.00      0.00 2623780  217292   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:46 AM  1000    509037   27.00    1.00    0.00    0.00   28.00     6    380.00      0.00 2623780  218828   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:47 AM  1000    509037   24.00    3.00    0.00    0.00   27.00    12    285.00      0.00 2624412  219980   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:48 AM  1000    509037   25.00    2.00    0.00    0.00   27.00     6    377.00      0.00 2624412  221324   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:49 AM  1000    509037   26.00    2.00    0.00    0.00   28.00     8    191.00      0.00 2624412  222284   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:50 AM  1000    509037   25.00    2.00    0.00    0.00   27.00    12    234.00      0.00 2624904  223244   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:44:51 AM  1000    509037   21.00    2.00    0.00    0.00   23.00    14    149.00      0.00 2624904  223820   0.69  fastlio_mapping

