Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:13:54 AM  1000    546197    8.00    3.00    0.00    0.00   11.00     8   6749.00      0.00 2621752  180124   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:13:55 AM  1000    546197   28.00    3.00    0.00    0.00   31.00     8   4958.00      0.00 2621780  195960   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:13:56 AM  1000    546197   25.00    3.00    0.00    0.00   28.00     4   2245.00      0.00 2621780  205368   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:13:57 AM  1000    546197   23.00    3.00    0.00    0.00   26.00     8   1272.00      0.00 2621948  210552   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:13:58 AM  1000    546197   23.00    2.00    0.00    0.00   25.00     9    666.00      0.00 2621948  212664   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:13:59 AM  1000    546197   25.00    2.00    0.00    0.00   27.00     9    916.00      0.00 2622716  215468   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:00 AM  1000    546197   21.00    3.00    0.00    0.00   24.00     9    575.00      0.00 2623380  217388   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:01 AM  1000    546197   24.00    3.00    0.00    0.00   27.00     9    311.00      0.00 2623804  218348   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:02 AM  1000    546197   24.00    3.00    0.00    0.00   27.00     9    726.00      0.00 2623804  219428   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:03 AM  1000    546197   25.00    2.00    0.00    0.00   27.00     2    132.00      0.00 2623804  220196   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:04 AM  1000    546197   16.00    3.00    0.00    0.00   19.00     4    264.00      0.00 2623804  221540   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:05 AM  1000    546197   24.00    2.00    0.00    0.00   26.00     6    236.00      0.00 2623804  222500   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:06 AM  1000    546197   26.00    3.00    0.00    0.00   29.00    10    198.00      0.00 2623808  223076   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:07 AM  1000    546197   27.00    2.00    0.00    0.00   29.00     2    308.00      0.00 2624176  224036   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:08 AM  1000    546197   25.00    2.00    0.00    0.00   27.00     4    758.00      0.00 2626312  227108   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:09 AM  1000    546197   25.00    2.00    0.00    0.00   27.00     2    277.00      0.00 2626312  228260   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:14:10 AM  1000    546197   25.00    3.00    0.00    0.00   28.00     4    545.00      0.00 2626312  229496   0.70  fastlio_mapping

