Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:36 AM  1000    516771    6.00    3.00    0.00    0.00    9.00    10   3965.00      0.00 2620660  167632   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:37 AM  1000    516771   19.00    3.00    0.00    0.00   22.00    11   3085.00      0.00 2621604  179152   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:38 AM  1000    516771   19.00    2.00    0.00    0.00   21.00    11   1437.00      0.00 2621604  185104   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:39 AM  1000    516771   18.00    2.00    0.00    0.00   20.00    11   1248.00      0.00 2621636  189048   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:40 AM  1000    516771   17.00    3.00    0.00    0.00   20.00    11    528.00      0.00 2621636  191160   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:41 AM  1000    516771   18.00    2.00    0.00    0.00   20.00    11    547.00      0.00 2621812  193464   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:42 AM  1000    516771   17.00    3.00    0.00    0.00   20.00     8     25.00      0.00 2621812  193464   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:43 AM  1000    516771   17.00    2.00    0.00    0.00   19.00    10      1.00      0.00 2621812  193464   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:44 AM  1000    516771   18.00    2.00    0.00    0.00   20.00     6     98.00      0.00 2621812  193848   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:45 AM  1000    516771   17.00    2.00    0.00    0.00   19.00     0     42.00      0.00 2621812  194040   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:46 AM  1000    516771   18.00    3.00    0.00    0.00   21.00    14    116.00      0.00 2621812  194616   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:47 AM  1000    516771   19.00    3.00    0.00    0.00   22.00     4    148.00      0.00 2622068  195192   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:48 AM  1000    516771   19.00    2.00    0.00    0.00   21.00     4     67.00      0.00 2622068  195384   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:49 AM  1000    516771   18.00    3.00    0.00    0.00   21.00     5      2.00      0.00 2622068  195384   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:50 AM  1000    516771   15.00    4.00    0.00    0.00   19.00     4    139.00      0.00 2622236  195768   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:51 AM  1000    516771   19.00    2.00    0.00    0.00   21.00     6    179.00      0.00 2622236  196536   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:52 AM  1000    516771   18.00    3.00    0.00    0.00   21.00     5     92.00      0.00 2622236  196920   0.60  fastlio_mapping

