Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:55 AM  1000    553880    8.00    3.00    0.00    0.00   11.00     0   4624.00      0.00 2620576  170520   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:56 AM  1000    553880   19.00    3.00    0.00    0.00   22.00     6   3488.00      0.00 2620852  184536   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:57 AM  1000    553880   22.00    3.00    0.00    0.00   25.00     0   1714.00      0.00 2621816  191064   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:58 AM  1000    553880   23.00    3.00    0.00    0.00   26.00     0   1135.00      0.00 2621864  194280   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:19:59 AM  1000    553880   23.00    2.00    0.00    0.00   25.00     6    230.00      0.00 2621868  195432   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:00 AM  1000    553880   22.00    3.00    0.00    0.00   25.00     2    234.00      0.00 2621868  196200   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:01 AM  1000    553880   22.00    2.00    0.00    0.00   24.00     6    359.00      0.00 2621868  197352   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:02 AM  1000    553880   20.00    3.00    0.00    0.00   23.00    14    268.00      0.00 2621868  198504   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:03 AM  1000    553880   18.00    3.00    0.00    0.00   21.00     0      3.00      0.00 2621868  198504   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:04 AM  1000    553880   22.00    2.00    0.00    0.00   24.00     6     40.00      0.00 2622072  198888   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:05 AM  1000    553880   21.00    3.00    0.00    0.00   24.00     6     58.00      0.00 2622072  199272   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:06 AM  1000    553880   16.00    3.00    0.00    0.00   19.00     6    198.00      0.00 2622072  200040   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:07 AM  1000    553880    7.00    1.00    0.00    0.00    8.00     6    234.00      0.00 2622408  200808   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:08 AM  1000    553880   17.00    2.00    0.00    0.00   19.00     8    148.00      0.00 2622408  201576   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:09 AM  1000    553880   21.00    3.00    0.00    0.00   24.00    10    156.00      0.00 2622412  201960   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:10 AM  1000    553880   19.00    3.00    0.00    0.00   22.00     6    135.00      0.00 2622748  202728   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:20:11 AM  1000    553880   20.00    2.00    0.00    0.00   22.00    14     52.00      0.00 2622748  202920   0.62  fastlio_mapping

