Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:05:59 AM  1000    536230    7.00    2.00    0.00    0.00    9.00     0   5816.00      0.00 2620556  173280   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:00 AM  1000    536230   18.00    5.00    0.00    0.00   23.00    12   3418.00      0.00 2621316  186720   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:01 AM  1000    536230   20.00    4.00    0.00    0.00   24.00     4   1414.00      0.00 2621316  192096   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:02 AM  1000    536230   14.00    4.00    0.00    0.00   18.00     6    589.00      0.00 2621316  194592   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:03 AM  1000    536230   14.00    2.00    0.00    0.00   16.00    12    314.00      0.00 2621316  195744   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:04 AM  1000    536230   18.00    3.00    0.00    0.00   21.00    14    382.00      0.00 2621316  197280   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:05 AM  1000    536230   18.00    3.00    0.00    0.00   21.00     6    128.00      0.00 2621316  197664   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:06 AM  1000    536230   18.00    3.00    0.00    0.00   21.00    14    424.00      0.00 2621316  199584   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:07 AM  1000    536230   18.00    2.00    0.00    0.00   20.00     0    483.00      0.00 2622312  201888   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:08 AM  1000    536230   17.00    3.00    0.00    0.00   20.00     0    330.00      0.00 2622544  202848   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:09 AM  1000    536230   19.00    2.00    0.00    0.00   21.00    12    224.00      0.00 2622548  203616   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:10 AM  1000    536230   19.00    3.00    0.00    0.00   22.00    12     40.00      0.00 2622548  203616   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:11 AM  1000    536230   18.00    2.00    0.00    0.00   20.00    13     77.00      0.00 2622548  203808   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:12 AM  1000    536230   20.00    3.00    0.00    0.00   23.00    13    234.00      0.00 2622548  204768   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:13 AM  1000    536230   18.00    3.00    0.00    0.00   21.00     2    161.00      0.00 2622548  205344   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:14 AM  1000    536230   20.00    3.00    0.00    0.00   23.00     3     34.00      0.00 2622548  205536   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:06:15 AM  1000    536230   19.00    1.00    0.00    0.00   20.00     8    116.00      0.00 2622548  206112   0.63  fastlio_mapping

