Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:01 AM  1000    561675    6.93    2.97    0.00    0.00    9.90     2   5684.16      0.00 2620928  173564   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:02 AM  1000    561675   21.00    4.00    0.00    0.00   25.00     2   3884.00      0.00 2620928  188924   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:03 AM  1000    561675   23.00    3.00    0.00    0.00   26.00     4   1674.00      0.00 2622252  195644   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:04 AM  1000    561675   24.00    2.00    0.00    0.00   26.00     8    592.00      0.00 2622252  198140   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:05 AM  1000    561675   21.00    3.00    0.00    0.00   24.00    10    659.00      0.00 2622252  200828   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:06 AM  1000    561675   22.00    2.00    0.00    0.00   24.00     4    203.00      0.00 2622252  201596   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:07 AM  1000    561675   17.00    2.00    0.00    0.00   19.00     8    215.00      0.00 2622252  202364   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:08 AM  1000    561675   20.00    2.00    0.00    0.00   22.00    12    253.00      0.00 2622252  203516   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:09 AM  1000    561675   19.00    2.00    0.00    0.00   21.00     6    430.00      0.00 2622684  205052   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:10 AM  1000    561675   19.00    3.00    0.00    0.00   22.00     0    146.00      0.00 2622684  205628   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:11 AM  1000    561675   20.00    3.00    0.00    0.00   23.00     0    136.00      0.00 2622684  206204   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:12 AM  1000    561675   20.00    4.00    0.00    0.00   24.00    14     13.00      0.00 2622684  206396   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:13 AM  1000    561675   22.00    2.00    0.00    0.00   24.00     2    200.00      0.00 2622848  206972   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:14 AM  1000    561675   22.00    1.00    0.00    0.00   23.00     0    407.00      0.00 2622848  208508   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:15 AM  1000    561675   20.00    2.00    0.00    0.00   22.00     2    211.00      0.00 2623300  209276   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:16 AM  1000    561675   21.00    3.00    0.00    0.00   24.00    14     36.00      0.00 2623300  209468   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:26:17 AM  1000    561675   19.00    2.00    0.00    0.00   21.00     8    384.00      0.00 2623300  211196   0.65  fastlio_mapping

