Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:56 AM  1000    570468    3.00    2.00    0.00    0.00    5.00    10   2578.00      0.00 2620260  161856   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:57 AM  1000    570468   19.00    3.00    0.00    0.00   22.00    14   6591.00      0.00 2621468  179024   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:58 AM  1000    570468   21.00    3.00    0.00    0.00   24.00     8   3983.00      0.00 2622112  184640   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:59 AM  1000    570468   17.00    3.00    0.00    0.00   20.00    12   1707.00      0.00 2622112  191552   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:00 AM  1000    570468   21.00    4.00    0.00    0.00   25.00    14   1548.00      0.00 2622112  197888   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:01 AM  1000    570468   21.00    1.00    0.00    0.00   22.00     4    865.00      0.00 2623140  201152   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:02 AM  1000    570468   20.00    3.00    0.00    0.00   23.00     6    534.00      0.00 2623140  203456   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:03 AM  1000    570468   20.00    2.00    0.00    0.00   22.00     8    238.00      0.00 2623140  204416   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:04 AM  1000    570468   19.00    2.00    0.00    0.00   21.00     4     35.00      0.00 2623140  204608   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:05 AM  1000    570468   20.00    3.00    0.00    0.00   23.00     6    186.00      0.00 2623292  205376   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:06 AM  1000    570468   20.00    2.00    0.00    0.00   22.00     4     80.00      0.00 2623292  205568   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:07 AM  1000    570468   18.00    2.00    0.00    0.00   20.00     6    138.00      0.00 2623292  206144   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:08 AM  1000    570468   21.00    2.00    0.00    0.00   23.00     4    157.00      0.00 2623292  206720   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:09 AM  1000    570468   22.00    2.00    0.00    0.00   24.00     8    203.00      0.00 2623680  207872   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:10 AM  1000    570468   20.00    2.00    0.00    0.00   22.00    14    175.00      0.00 2623680  208448   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:11 AM  1000    570468   23.00    2.00    0.00    0.00   25.00    14    210.00      0.00 2623680  209024   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:12 AM  1000    570468   22.00    3.00    0.00    0.00   25.00     0    396.00      0.00 2623932  210560   0.65  fastlio_mapping

