Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:14 AM  1000    583445    6.00    2.00    0.00    0.00    8.00     9   4403.00      0.00 2620444  170228   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:15 AM  1000    583445   20.00    4.00    0.00    0.00   24.00     7   4434.00      0.00 2620776  181524   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:16 AM  1000    583445   22.00    2.00    0.00    0.00   24.00     4   3490.00      0.00 2621888  187372   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:17 AM  1000    583445   19.00    3.00    0.00    0.00   22.00     3   1668.00      0.00 2621888  193708   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:18 AM  1000    583445   21.00    2.00    0.00    0.00   23.00     2   1027.00      0.00 2621888  197932   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:19 AM  1000    583445   22.00    2.00    0.00    0.00   24.00    12    468.00      0.00 2622092  199852   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:20 AM  1000    583445   17.00    3.00    0.00    0.00   20.00     2    250.00      0.00 2622480  200620   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:21 AM  1000    583445   19.00    2.00    0.00    0.00   21.00     4    142.00      0.00 2622480  201196   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:22 AM  1000    583445   18.00    3.00    0.00    0.00   21.00     0    113.00      0.00 2622480  201772   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:23 AM  1000    583445   20.00    3.00    0.00    0.00   23.00     2    150.00      0.00 2622480  202540   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:24 AM  1000    583445   23.00    3.00    0.00    0.00   26.00    10    542.00      0.00 2623116  204844   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:25 AM  1000    583445   19.00    2.00    0.00    0.00   21.00    12     49.00      0.00 2623120  204844   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:26 AM  1000    583445   20.00    2.00    0.00    0.00   22.00    10     41.00      0.00 2623120  205036   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:27 AM  1000    583445   22.00    2.00    0.00    0.00   24.00     0    191.00      0.00 2623120  205996   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:28 AM  1000    583445   22.00    2.00    0.00    0.00   24.00     8    310.00      0.00 2623120  207340   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:29 AM  1000    583445   20.00    3.00    0.00    0.00   23.00    12    142.00      0.00 2623120  207916   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:43:30 AM  1000    583445   23.00    2.00    0.00    0.00   25.00     6    407.00      0.00 2623120  209260   0.64  fastlio_mapping

