Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:08:58 PM  1000    253148   11.00    3.00    0.00    0.00   14.00     4  13315.00      0.00 2617768  201780   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:08:59 PM  1000    253148   38.00    5.00    0.00    0.00   43.00    12  10029.00      0.00 2618460  220588   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:00 PM  1000    253148   35.00    3.00    0.00    0.00   38.00     4   6207.00      0.00 2618052  227268   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:01 PM  1000    253148   31.00    3.00    0.00    0.00   34.00     6   4999.00      0.00 2616696  232236   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:02 PM  1000    253148   36.00    3.00    0.00    0.00   39.00    12   4920.00      0.00 2616800  235680   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:03 PM  1000    253148   42.00    2.00    0.00    0.00   44.00     6   6619.00      0.00 2620328  235400   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:04 PM  1000    253148   30.00    4.00    0.00    0.00   34.00    10   6010.00      0.00 2618108  237880   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:05 PM  1000    253148   33.00    3.00    0.00    0.00   36.00    15   5291.00      0.00 2620572  241968   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:06 PM  1000    253148   40.00    3.00    0.00    0.00   43.00     0   4801.00      0.00 2618960  242364   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:07 PM  1000    253148   37.00    3.00    0.00    0.00   40.00     4   5447.00      0.00 2621512  250996   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:08 PM  1000    253148   40.00    1.00    0.00    0.00   41.00    10   2573.00      0.00 2620732  251400   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:09 PM  1000    253148   42.00    2.00    0.00    0.00   44.00     0   1594.00      0.00 2621480  254420   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:10 PM  1000    253148   30.00    3.00    0.00    0.00   33.00    14   1102.00      0.00 2621480  254560   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:11 PM  1000    253148   41.00    2.00    0.00    0.00   43.00     6   3626.00      0.00 2623408  262868   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:12 PM  1000    253148   33.00    2.00    0.00    0.00   35.00     0   2806.00      0.00 2623408  272492   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:13 PM  1000    253148   39.00    2.00    0.00    0.00   41.00     2   4567.00      0.00 2623408  288960   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:09:14 PM  1000    253148   32.00    2.00    0.00    0.00   34.00    14    883.00      0.00 2623408  290624   0.89  fastlio_mapping

