Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:54 PM  1000     74394   15.00    6.00    0.00    0.00   21.00     0  16455.00      9.00 2617600  201208   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:55 PM  1000     74394   36.00    6.00    0.00    0.00   42.00     4  11209.00     21.00 2616196  218404   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:56 PM  1000     74394   35.00    4.00    0.00    0.00   39.00     0   7750.00     19.00 2616220  227504   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:57 PM  1000     74394   32.00    4.00    0.00    0.00   36.00     2   6042.00     21.00 2616220  230060   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:58 PM  1000     74394   31.00    5.00    0.00    0.00   36.00     0   6171.00     19.00 2618208  232996   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:59 PM  1000     74394   31.00    3.00    0.00    0.00   34.00     2   5924.00     20.00 2617948  233552   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:00 PM  1000     74394   33.00    5.00    0.00    0.00   38.00     6   4308.00     20.00 2617976  236872   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:01 PM  1000     74394   36.00    3.00    0.00    0.00   39.00     6   6321.00     20.00 2618648  230432   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:02 PM  1000     74394   31.00    5.00    0.00    0.00   36.00    12   7169.00     20.00 2618648  227908   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:03 PM  1000     74394   36.00    5.00    0.00    0.00   41.00    12   9478.00     20.00 2618648  231716   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:04 PM  1000     74394   37.00    4.00    0.00    0.00   41.00     0   7336.00     20.00 2618976  242644   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:05 PM  1000     74394   37.00    4.00    0.00    0.00   41.00    14   4423.00     20.00 2618976  241692   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:06 PM  1000     74394   34.00    3.00    0.00    0.00   37.00     8   4180.00     21.00 2618976  239912   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:07 PM  1000     74394   31.00    5.00    0.00    0.00   36.00     4   5726.00     19.00 2618976  243060   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:08 PM  1000     74394   35.00    4.00    0.00    0.00   39.00    14   6606.00     20.00 2618976  253336   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:09 PM  1000     74394   34.00    4.00    0.00    0.00   38.00     5   7575.00     20.00 2619256  256516   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:40:10 PM  1000     74394   38.00    4.00    0.00    0.00   42.00    12   5046.00     20.00 2621000  265420   0.81  fastlio_mapping

