Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:38 PM  1000    441857   17.00    5.00    0.00    0.00   22.00    14  14513.00      0.00 2616216  208940   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:39 PM  1000    441857   37.00    5.00    0.00    0.00   42.00     2  10497.00      0.00 2616300  227568   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:40 PM  1000    441857   35.00    3.00    0.00    0.00   38.00     2   4895.00      0.00 2617900  231992   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:41 PM  1000    441857   41.00    4.00    0.00    0.00   45.00     4   2406.00      0.00 2617900  238704   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:42 PM  1000    441857   36.00    4.00    0.00    0.00   40.00     4   2381.00      0.00 2617900  241320   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:43 PM  1000    441857   36.00    3.00    0.00    0.00   39.00    10   2411.00      0.00 2618344  245948   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:44 PM  1000    441857   34.00    2.00    0.00    0.00   36.00     8   3132.00      0.00 2618312  242828   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:45 PM  1000    441857   33.00    3.00    0.00    0.00   36.00     4   4943.00      0.00 2619716  245536   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:46 PM  1000    441857   34.00    3.00    0.00    0.00   37.00    14   2734.00      0.00 2620352  247924   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:47 PM  1000    441857   31.00    3.00    0.00    0.00   34.00     6   2611.00      0.00 2620956  249052   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:48 PM  1000    441857   41.00    3.00    0.00    0.00   44.00    12   4350.00      0.00 2622276  252372   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:49 PM  1000    441857   38.00    3.00    0.00    0.00   41.00    14    931.00      0.00 2622276  256212   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:50 PM  1000    441857   41.00    3.00    0.00    0.00   44.00     8   2213.00      0.00 2622276  258572   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:51 PM  1000    441857   38.00    3.00    0.00    0.00   41.00     4   1911.00      0.00 2623600  263168   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:52 PM  1000    441857   39.00    3.00    0.00    0.00   42.00     2   4742.00      0.00 2624292  277220   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:53 PM  1000    441857   42.00    3.00    0.00    0.00   45.00     2   2172.00      0.00 2624524  285476   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:43:54 PM  1000    441857   29.00    3.00    0.00    0.00   32.00    12   1294.00      0.00 2624528  289056   0.89  fastlio_mapping

