Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:55 PM  1000    256257   12.00    4.00    0.00    0.00   16.00     4   6203.00      0.00 2617984  177724   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:56 PM  1000    256257   26.00    5.00    0.00    0.00   31.00     6   8676.00      0.00 2618000  203804   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:57 PM  1000    256257   25.00    2.00    0.00    0.00   27.00     6   3220.00      0.00 2618000  212496   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:58 PM  1000    256257   27.00    3.00    0.00    0.00   30.00     8   2544.00      0.00 2618016  216444   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:14:59 PM  1000    256257   29.00    1.00    0.00    0.00   30.00     2   1370.00      0.00 2618016  218700   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:00 PM  1000    256257   24.00    3.00    0.00    0.00   27.00     8   2825.00      0.00 2618060  221472   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:01 PM  1000    256257   29.00    2.00    0.00    0.00   31.00     4    583.00      0.00 2618612  223776   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:02 PM  1000    256257   24.00    1.00    0.00    0.00   25.00     4    844.00      0.00 2618616  227040   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:03 PM  1000    256257   27.00    2.00    0.00    0.00   29.00    12    777.00      0.00 2620144  226356   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:04 PM  1000    256257   28.00    1.00    0.00    0.00   29.00    12    144.00      0.00 2620144  226548   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:05 PM  1000    256257   24.00    1.00    0.00    0.00   25.00     4    286.00      0.00 2620144  227508   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:06 PM  1000    256257   29.00    2.00    0.00    0.00   31.00     4    685.00      0.00 2620468  223920   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:07 PM  1000    256257   24.00    2.00    0.00    0.00   26.00     4    716.00      0.00 2620468  224752   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:08 PM  1000    256257   27.00    2.00    0.00    0.00   29.00    14   1902.00      0.00 2620468  230764   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:09 PM  1000    256257   24.00    1.00    0.00    0.00   25.00    14   1139.00      0.00 2622032  233960   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:10 PM  1000    256257   30.00    1.00    0.00    0.00   31.00     0    329.00      0.00 2622032  235304   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:15:11 PM  1000    256257   22.00    2.00    0.00    0.00   24.00     2   1035.00      0.00 2620024  233236   0.72  fastlio_mapping

