Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:07 PM  1000    457987    3.00    2.00    0.00    0.00    5.00    10   2942.00      0.00 2615280  164548   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:08 PM  1000    457987   18.00    4.00    0.00    0.00   22.00    10  10605.00      0.00 2620092  201616   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:09 PM  1000    457987   21.00    3.00    0.00    0.00   24.00    14   4184.00      0.00 2620136  203428   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:10 PM  1000    457987   21.00    2.00    0.00    0.00   23.00     2   4020.00      0.00 2620136  212380   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:11 PM  1000    457987   15.00    2.00    0.00    0.00   17.00     6   2961.00      0.00 2620136  211080   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:12 PM  1000    457987   21.00    3.00    0.00    0.00   24.00     6   2775.00      0.00 2620140  213152   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:13 PM  1000    457987   18.00    3.00    0.00    0.00   21.00     8   2828.00      0.00 2620944  213440   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:14 PM  1000    457987   18.00    2.00    0.00    0.00   20.00     6   2512.00      0.00 2620944  213940   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:15 PM  1000    457987   23.00    2.00    0.00    0.00   25.00    12   3644.00      0.00 2620944  214352   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:16 PM  1000    457987   20.00    2.00    0.00    0.00   22.00     4   3254.00      0.00 2620944  214496   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:17 PM  1000    457987   18.81    2.97    0.00    0.00   21.78     4   4118.81      0.00 2620944  216500   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:18 PM  1000    457987   19.00    2.00    0.00    0.00   21.00     0   3407.00      0.00 2620944  217828   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:19 PM  1000    457987   19.00    3.00    0.00    0.00   22.00     8   3116.00      0.00 2620944  218924   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:20 PM  1000    457987   20.00    3.00    0.00    0.00   23.00     4   2709.00      0.00 2620944  217916   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:21 PM  1000    457987   16.00    3.00    0.00    0.00   19.00     4   4264.00      0.00 2620944  219048   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:22 PM  1000    457987   17.00    3.00    0.00    0.00   20.00     4   2571.00      0.00 2620944  218416   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:14:23 PM  1000    457987   17.00    4.00    0.00    0.00   21.00     0   3370.00      0.00 2620944  216960   0.67  fastlio_mapping

