Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:00 PM  1000    587222    9.00    4.00    0.00    0.00   13.00     9  10087.00      0.00 2617132  190768   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:01 PM  1000    587222   33.00    5.00    0.00    0.00   38.00     9   8521.00      0.00 2617132  205744   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:02 PM  1000    587222   31.00    5.00    0.00    0.00   36.00    12   8497.00      0.00 2617964  210016   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:03 PM  1000    587222   30.00    3.00    0.00    0.00   33.00     6   6256.00      0.00 2618472  221768   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:04 PM  1000    587222   30.00    4.00    0.00    0.00   34.00    14   4682.00      0.00 2617188  213396   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:05 PM  1000    587222   28.00    3.00    0.00    0.00   31.00    10   6538.00      0.00 2618624  221652   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:06 PM  1000    587222   31.00    4.00    0.00    0.00   35.00     4   5841.00      0.00 2618624  217148   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:07 PM  1000    587222   28.00    4.00    0.00    0.00   32.00     6   6763.00      0.00 2618624  215188   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:08 PM  1000    587222   26.00    4.00    0.00    0.00   30.00    14   7231.00      0.00 2618624  218256   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:09 PM  1000    587222   22.00    3.00    0.00    0.00   25.00    14   6227.00      0.00 2618712  219888   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:10 PM  1000    587222   30.00    5.00    0.00    0.00   35.00    14   5943.00      0.00 2618688  220584   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:11 PM  1000    587222   27.00    6.00    0.00    0.00   33.00     2   4469.00      0.00 2617188  217652   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:12 PM  1000    587222   27.00    4.00    0.00    0.00   31.00    10   6541.00      0.00 2617188  215360   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:13 PM  1000    587222   24.00    5.00    0.00    0.00   29.00     4   7689.00      0.00 2618752  215444   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:14 PM  1000    587222   25.00    5.00    0.00    0.00   30.00     0   4913.00      0.00 2618724  214232   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:15 PM  1000    587222   22.00    5.00    0.00    0.00   27.00     2   5747.00      0.00 2618724  215272   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:27:16 PM  1000    587222   21.00    6.00    0.00    0.00   27.00    14   7658.00      0.00 2618724  217524   0.67  fastlio_mapping

