Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:28 PM  1000    639114    7.00    3.00    0.00    0.00   10.00     0   9198.00      0.00 2617172  187196   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:29 PM  1000    639114   25.00    3.00    0.00    0.00   28.00    14   6878.00      0.00 2616768  208476   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:30 PM  1000    639114   25.00    4.00    0.00    0.00   29.00    14   4804.00      0.00 2615688  214440   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:31 PM  1000    639114   25.00    4.00    0.00    0.00   29.00    15   1859.00      0.00 2616760  216208   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:32 PM  1000    639114   26.00    4.00    0.00    0.00   30.00    15   3001.00      0.00 2616760  213652   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:33 PM  1000    639114   22.00    4.00    0.00    0.00   26.00    15   4253.00      0.00 2615688  212460   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:34 PM  1000    639114   24.00    5.00    0.00    0.00   29.00    15   2604.00      0.00 2615704  216776   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:35 PM  1000    639114   24.00    4.00    0.00    0.00   28.00    15   2418.00      0.00 2616788  221760   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:36 PM  1000    639114   25.00    3.00    0.00    0.00   28.00     0   1098.00      0.00 2617588  224464   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:37 PM  1000    639114   26.00    3.00    0.00    0.00   29.00     2   1284.00      0.00 2616992  220980   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:38 PM  1000    639114   25.00    3.00    0.00    0.00   28.00     4   2188.00      0.00 2616992  225196   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:39 PM  1000    639114   22.00    3.00    0.00    0.00   25.00     6    835.00      0.00 2616992  226544   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:40 PM  1000    639114   25.00    3.00    0.00    0.00   28.00     6   1156.00      0.00 2616992  227364   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:41 PM  1000    639114   25.00    3.00    0.00    0.00   28.00     6   1695.00      0.00 2617552  227044   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:42 PM  1000    639114   23.00    3.00    0.00    0.00   26.00     0   2374.00      0.00 2618024  227736   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:43 PM  1000    639114   25.00    3.00    0.00    0.00   28.00    14    230.00      0.00 2618024  227004   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:44 PM  1000    639114   24.00    5.00    0.00    0.00   29.00     4   1621.00      0.00 2618024  227372   0.70  fastlio_mapping

