Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:59:56 PM  1000    653519    7.00    2.00    0.00    0.00    9.00     9   7688.00      0.00 2615656  183536   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:59:57 PM  1000    653519   22.00    5.00    0.00    0.00   27.00     6   9923.00      0.00 2618344  201748   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:59:58 PM  1000    653519   27.00    3.00    0.00    0.00   30.00    10   4922.00      0.00 2618500  204468   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:59:59 PM  1000    653519   24.00    4.00    0.00    0.00   28.00     2   5828.00      0.00 2618500  205868   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:00 AM  1000    653519   21.00    4.00    0.00    0.00   25.00     1   4478.00      0.00 2618500  206600   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:01 AM  1000    653519   21.00    3.00    0.00    0.00   24.00     4   3383.00      0.00 2618500  202084   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:02 AM  1000    653519   22.00    4.00    0.00    0.00   26.00     4   5157.00      0.00 2618516  207312   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:03 AM  1000    653519   26.00    3.00    0.00    0.00   29.00     8   2481.00      0.00 2618516  208476   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:04 AM  1000    653519   22.00    3.00    0.00    0.00   25.00    10   3440.00      0.00 2618524  214452   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:05 AM  1000    653519   24.00    2.00    0.00    0.00   26.00    14   2942.00      0.00 2618524  210352   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:06 AM  1000    653519   22.00    4.00    0.00    0.00   26.00    12   2133.00      0.00 2618524  214924   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:07 AM  1000    653519   23.00    3.00    0.00    0.00   26.00    14   3505.00      0.00 2618524  218316   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:08 AM  1000    653519   25.00    3.00    0.00    0.00   28.00     2   1808.00      0.00 2618524  214864   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:09 AM  1000    653519   23.00    3.00    0.00    0.00   26.00     4   2992.00      0.00 2618524  214784   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:10 AM  1000    653519   24.00    3.00    0.00    0.00   27.00     6   3563.00      0.00 2618524  214732   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:11 AM  1000    653519   23.00    5.00    0.00    0.00   28.00     2   3744.00      0.00 2618524  212680   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:00:12 AM  1000    653519   25.00    3.00    0.00    0.00   28.00    14   4123.00      0.00 2619228  218460   0.67  fastlio_mapping

