Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:01 PM  1000    181009    5.00    2.00    0.00    0.00    7.00    14   4077.00      0.00 2614520  169976   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:02 PM  1000    181009   19.00    4.00    0.00    0.00   23.00    14   9891.00      0.00 2616256  207364   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:03 PM  1000    181009   19.00    4.00    0.00    0.00   23.00    10   4542.00      0.00 2617664  221352   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:04 PM  1000    181009   22.00    2.00    0.00    0.00   24.00    11   2933.00      0.00 2617664  222224   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:05 PM  1000    181009   21.00    4.00    0.00    0.00   25.00    11   1491.00      0.00 2617664  220720   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:06 PM  1000    181009   19.00    2.00    0.00    0.00   21.00    11   2823.00      0.00 2617960  223048   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:07 PM  1000    181009   21.00    3.00    0.00    0.00   24.00    12   2656.00      0.00 2617960  224304   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:08 PM  1000    181009   19.00    4.00    0.00    0.00   23.00    12   3016.00      0.00 2616404  225736   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:09 PM  1000    181009   18.00    3.00    0.00    0.00   21.00     6   2580.00      0.00 2617716  226244   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:10 PM  1000    181009   20.00    4.00    0.00    0.00   24.00     6   3354.00      0.00 2617744  227712   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:11 PM  1000    181009   23.00    2.00    0.00    0.00   25.00     6   1233.00      0.00 2616720  231300   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:12 PM  1000    181009   23.00    3.00    0.00    0.00   26.00     2   1474.00      0.00 2616788  231432   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:13 PM  1000    181009   22.00    2.00    0.00    0.00   24.00     6   1459.00      0.00 2618848  235324   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:14 PM  1000    181009   18.00    3.00    0.00    0.00   21.00     9   1491.00      0.00 2618452  235680   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:15 PM  1000    181009   21.00    2.00    0.00    0.00   23.00     9   1087.00      0.00 2618452  235620   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:16 PM  1000    181009   22.00    2.00    0.00    0.00   24.00     9    867.00      0.00 2616968  231548   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:18:17 PM  1000    181009   21.00    2.00    0.00    0.00   23.00    10   2243.00      0.00 2618916  238668   0.73  fastlio_mapping

