Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:04 PM  1000    154843    4.00    2.00    0.00    0.00    6.00     4   3962.00      0.00 2616536  168684   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:05 PM  1000    154843   16.83    3.96    0.00    0.00   20.79     8   9284.16      0.00 2618112  201240   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:06 PM  1000    154843   19.00    3.00    0.00    0.00   22.00    14   4539.00      0.00 2618112  213344   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:07 PM  1000    154843   20.00    3.00    0.00    0.00   23.00    12   4183.00      0.00 2618120  221260   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:08 PM  1000    154843   18.00    2.00    0.00    0.00   20.00    14   1880.00      0.00 2618600  224808   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:09 PM  1000    154843   18.00    2.00    0.00    0.00   20.00     0   1081.00      0.00 2618732  225368   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:10 PM  1000    154843   20.00    3.00    0.00    0.00   23.00    14   2076.00      0.00 2618732  223228   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:11 PM  1000    154843   18.00    3.00    0.00    0.00   21.00    12   1868.00      0.00 2618732  223544   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:12 PM  1000    154843   18.00    3.00    0.00    0.00   21.00    14   2392.00      0.00 2618732  227412   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:13 PM  1000    154843   16.00    4.00    0.00    0.00   20.00     6   3168.00      0.00 2618760  228428   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:14 PM  1000    154843   20.00    1.00    0.00    0.00   21.00    11   1674.00      0.00 2617384  231112   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:15 PM  1000    154843   21.00    2.00    0.00    0.00   23.00    14    890.00      0.00 2617384  232408   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:16 PM  1000    154843   16.00    3.00    0.00    0.00   19.00    11   1479.00      0.00 2617836  234012   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:17 PM  1000    154843   19.00    3.00    0.00    0.00   22.00    14   1733.00      0.00 2619636  236912   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:18 PM  1000    154843   19.00    1.00    0.00    0.00   20.00     2    700.00      0.00 2619636  239600   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:19 PM  1000    154843   16.00    2.00    0.00    0.00   18.00    14    171.00      0.00 2619636  238372   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:57:20 PM  1000    154843   20.00    3.00    0.00    0.00   23.00     6    926.00      0.00 2619636  236572   0.73  fastlio_mapping

