Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:57 PM  1000    260237    4.00    4.00    0.00    0.00    8.00     0   7680.00      0.00 2616644  183436   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:58 PM  1000    260237   29.00    4.00    0.00    0.00   33.00     6   8855.00      0.00 2617272  210988   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:22:59 PM  1000    260237   30.00    3.00    0.00    0.00   33.00     4   4970.00      0.00 2618072  214336   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:00 PM  1000    260237   25.00    4.00    0.00    0.00   29.00     4   3875.00      0.00 2618072  217672   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:01 PM  1000    260237   27.00    2.00    0.00    0.00   29.00     6   2625.00      0.00 2618132  219460   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:02 PM  1000    260237   26.00    2.00    0.00    0.00   28.00     4   1789.00      0.00 2616972  220368   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:03 PM  1000    260237   24.00    3.00    0.00    0.00   27.00     4   1793.00      0.00 2616972  223208   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:04 PM  1000    260237   25.00    3.00    0.00    0.00   28.00     4   1251.00      0.00 2616972  222460   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:05 PM  1000    260237   23.00    3.00    0.00    0.00   26.00     0   3191.00      0.00 2619088  227572   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:06 PM  1000    260237   22.00    3.00    0.00    0.00   25.00     4   2720.00      0.00 2619432  227680   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:07 PM  1000    260237   27.00    2.00    0.00    0.00   29.00    10   1140.00      0.00 2619432  228088   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:08 PM  1000    260237   26.00    3.00    0.00    0.00   29.00    14   1285.00      0.00 2619432  228984   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:09 PM  1000    260237   25.00    3.00    0.00    0.00   28.00     2   1304.00      0.00 2619432  232244   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:10 PM  1000    260237   24.00    2.00    0.00    0.00   26.00    14   2302.00      0.00 2619432  231188   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:11 PM  1000    260237   26.00    2.00    0.00    0.00   28.00     8   1953.00      0.00 2619432  229188   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:12 PM  1000    260237   24.00    2.00    0.00    0.00   26.00     0    535.00      0.00 2619432  229500   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:23:13 PM  1000    260237   20.00    2.00    0.00    0.00   22.00    14   1582.00      0.00 2619432  229500   0.70  fastlio_mapping

