Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:01 PM  1000    406654    6.00    4.00    0.00    0.00   10.00     4   9543.00      3.00 2618500  184752   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:02 PM  1000    406654   30.00    6.00    0.00    0.00   36.00     4  12256.00     21.00 2617128  213384   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:03 PM  1000    406654   35.00    5.00    0.00    0.00   40.00    14   7068.00     20.00 2617128  216364   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:04 PM  1000    406654   30.00    5.00    0.00    0.00   35.00     4   6330.00     19.00 2619968  220740   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:05 PM  1000    406654   29.00    5.00    0.00    0.00   34.00     8   5612.00     19.00 2619968  223452   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:06 PM  1000    406654   29.00    4.00    0.00    0.00   33.00    10   4528.00     21.00 2619988  226240   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:07 PM  1000    406654   29.00    4.00    0.00    0.00   33.00     4   3111.00     20.00 2619988  227656   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:08 PM  1000    406654   25.00    5.00    0.00    0.00   30.00    14   3737.00     20.00 2619988  225964   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:09 PM  1000    406654   33.00    3.00    0.00    0.00   36.00     2   5148.00     20.00 2619988  227040   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:10 PM  1000    406654   28.00    6.00    0.00    0.00   34.00     2   5742.00     20.00 2619988  226096   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:11 PM  1000    406654   30.00    3.00    0.00    0.00   33.00     0   3519.00     19.00 2619988  230040   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:12 PM  1000    406654   31.00    5.00    0.00    0.00   36.00    12   3790.00     21.00 2619988  232716   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:13 PM  1000    406654   27.00    5.00    0.00    0.00   32.00    14   3241.00     20.00 2619988  229400   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:14 PM  1000    406654   29.00    4.00    0.00    0.00   33.00     0   6510.00     20.00 2619988  228004   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:15 PM  1000    406654   25.00    4.00    0.00    0.00   29.00     2   4777.00     20.00 2619988  227984   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:16 PM  1000    406654   28.00    4.00    0.00    0.00   32.00     2   4482.00     20.00 2619988  231944   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:35:17 PM  1000    406654   30.00    5.00    0.00    0.00   35.00     5   2859.00     19.00 2619992  226308   0.69  fastlio_mapping

