Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:17 PM  1000    421344    0.00    1.00    0.00    0.00    1.00     0     31.00      0.00 2613164  157632   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:18 PM  1000    421344    7.00    2.00    0.00    0.00    9.00    14  11112.00      0.00 2620448  187024   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:19 PM  1000    421344   26.00    5.00    0.00    0.00   31.00     0   9231.00      0.00 2620464  215312   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:20 PM  1000    421344   28.00    4.00    0.00    0.00   32.00     2   3678.00      0.00 2620496  222488   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:21 PM  1000    421344   26.00    4.00    0.00    0.00   30.00     6   4048.00      0.00 2620496  222492   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:22 PM  1000    421344   25.00    3.00    0.00    0.00   28.00     0   2816.00      0.00 2620516  225892   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:23 PM  1000    421344   26.00    3.00    0.00    0.00   29.00     8   1289.00      0.00 2620516  226872   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:24 PM  1000    421344   28.00    2.00    0.00    0.00   30.00    10   1341.00      0.00 2620516  227628   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:25 PM  1000    421344   28.00    3.00    0.00    0.00   31.00    12    174.00      0.00 2620516  225784   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:26 PM  1000    421344   29.00    4.00    0.00    0.00   33.00     4   2056.00      0.00 2620516  223620   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:27 PM  1000    421344   33.00    3.00    0.00    0.00   36.00     2   1383.00      0.00 2620516  229188   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:28 PM  1000    421344   27.00    3.00    0.00    0.00   30.00     4    722.00      0.00 2620516  227312   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:29 PM  1000    421344   23.00    3.00    0.00    0.00   26.00     4   1300.00      0.00 2620516  230664   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:30 PM  1000    421344   26.00    2.00    0.00    0.00   28.00     6   1583.00      0.00 2620516  224456   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:31 PM  1000    421344   26.00    3.00    0.00    0.00   29.00     2   2988.00      0.00 2620516  229032   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:32 PM  1000    421344   20.00    3.00    0.00    0.00   23.00     6   1767.00      0.00 2620520  231888   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:04:33 PM  1000    421344   22.00    3.00    0.00    0.00   25.00    10   2180.00      0.00 2620520  230344   0.71  fastlio_mapping

