Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:42 PM  1000    429379   10.00    4.00    0.00    0.00   14.00     4  10544.00      0.00 2615912  187228   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:43 PM  1000    429379   25.00    3.00    0.00    0.00   28.00    12   7967.00      0.00 2617100  206828   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:44 PM  1000    429379   29.00    4.00    0.00    0.00   33.00     2   4962.00      0.00 2617100  218776   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:45 PM  1000    429379   28.00    3.00    0.00    0.00   31.00     1   2564.00      0.00 2615948  220204   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:46 PM  1000    429379   24.00    4.00    0.00    0.00   28.00     1   3776.00      0.00 2615028  220372   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:47 PM  1000    429379   26.00    2.00    0.00    0.00   28.00     1   1205.00      0.00 2615028  222780   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:48 PM  1000    429379   27.00    2.00    0.00    0.00   29.00     1   1873.00      0.00 2615036  225180   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:49 PM  1000    429379   24.00    2.00    0.00    0.00   26.00     8   2228.00      0.00 2616252  227832   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:50 PM  1000    429379   25.00    2.00    0.00    0.00   27.00    10   1506.00      0.00 2616252  225792   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:51 PM  1000    429379   22.00    4.00    0.00    0.00   26.00    10   3669.00      0.00 2617752  228312   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:52 PM  1000    429379   25.00    3.00    0.00    0.00   28.00    12    676.00      0.00 2617752  230808   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:53 PM  1000    429379   24.00    2.00    0.00    0.00   26.00    14    874.00      0.00 2617752  229888   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:54 PM  1000    429379   27.00    3.00    0.00    0.00   30.00     0   2578.00      0.00 2617752  226040   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:55 PM  1000    429379   27.00    4.00    0.00    0.00   31.00     2   2804.00      0.00 2617752  227980   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:56 PM  1000    429379   27.00    2.00    0.00    0.00   29.00     8   1843.00      0.00 2617752  230564   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:57 PM  1000    429379   27.00    3.00    0.00    0.00   30.00    10   2405.00      0.00 2619248  234292   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:20:58 PM  1000    429379   27.00    2.00    0.00    0.00   29.00     6    537.00      0.00 2619248  236404   0.73  fastlio_mapping

