Linux 6.8.0-87-generic (jschoi) 	09/13/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:50 PM  1000   3673910   11.00    2.00    0.00    0.00   13.00     2  10240.00      1.00 2618480  188532   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:51 PM  1000   3673910   38.00    4.00    0.00    0.00   42.00     0  12869.00      0.00 2618484  211192   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:52 PM  1000   3673910   41.00    4.00    0.00    0.00   45.00     2   6397.00      0.00 2618516  217796   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:53 PM  1000   3673910   46.00    3.00    0.00    0.00   49.00     6   6053.00      0.00 2618516  221492   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:54 PM  1000   3673910   41.00    3.00    0.00    0.00   44.00    10   3982.00      0.00 2620640  219648   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:55 PM  1000   3673910   46.00    3.00    0.00    0.00   49.00    10   5144.00      0.00 2620640  221016   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:56 PM  1000   3673910   43.00    2.00    0.00    0.00   45.00     0   4238.00      0.00 2620640  220464   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:57 PM  1000   3673910   41.00    2.00    0.00    0.00   43.00     2   4153.00      0.00 2620640  219812   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:58 PM  1000   3673910   43.00    3.00    0.00    0.00   46.00     0   5131.00      0.00 2620640  224540   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:55:59 PM  1000   3673910   48.00    3.00    0.00    0.00   51.00     6   4232.00      0.00 2620640  226476   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:56:00 PM  1000   3673910   46.00    3.00    0.00    0.00   49.00     0   4690.00      0.00 2620640  227764   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:56:01 PM  1000   3673910   41.00    2.00    0.00    0.00   43.00     6   2819.00      0.00 2620648  227444   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:56:02 PM  1000   3673910   40.00    3.00    0.00    0.00   43.00    14    574.00      0.00 2620648  229364   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:56:03 PM  1000   3673910   37.00    1.00    0.00    0.00   38.00     8   1057.00      0.00 2620804  230268   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:56:04 PM  1000   3673910   38.00    2.00    0.00    0.00   40.00     4   2575.00      0.00 2624292  227152   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:56:05 PM  1000   3673910   26.00    3.00    0.00    0.00   29.00     4   2961.00      0.00 2626168  239248   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
