Linux 6.8.0-87-generic (jschoi) 	09/13/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:24 PM  1000   3991946   15.00    5.00    0.00    0.00   20.00     0  15154.00      0.00 2616592  207340   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:25 PM  1000   3991946   36.00    5.00    0.00    0.00   41.00    11  10961.00      0.00 2618608  231580   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:26 PM  1000   3991946   39.00    2.00    0.00    0.00   41.00     4   6456.00      0.00 2619540  237200   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:27 PM  1000   3991946   41.00    3.00    0.00    0.00   44.00    12   6467.00      0.00 2619540  245544   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:28 PM  1000   3991946   37.00    3.00    0.00    0.00   40.00    14   4413.00      0.00 2619540  241388   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:29 PM  1000   3991946   40.00    3.00    0.00    0.00   43.00     0   5194.00      0.00 2619540  241464   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:30 PM  1000   3991946   36.00    5.00    0.00    0.00   41.00     0   4751.00      0.00 2617824  241804   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:31 PM  1000   3991946   38.00    3.00    0.00    0.00   41.00     0   6624.00      0.00 2619532  244232   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:32 PM  1000   3991946   39.00    3.00    0.00    0.00   42.00     0   5256.00      0.00 2617824  246756   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:33 PM  1000   3991946   37.00    3.00    0.00    0.00   40.00     2   4159.00      0.00 2618996  243064   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:34 PM  1000   3991946   38.00    3.00    0.00    0.00   41.00     4   5065.00      0.00 2619904  243748   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:35 PM  1000   3991946   37.00    2.00    0.00    0.00   39.00     0   4567.00      0.00 2620028  251464   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:36 PM  1000   3991946   38.00    3.00    0.00    0.00   41.00     2   3535.00      0.00 2620144  253420   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:37 PM  1000   3991946   33.00    2.00    0.00    0.00   35.00    12   1853.00      0.00 2621168  254728   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:38 PM  1000   3991946   28.00    2.00    0.00    0.00   30.00     2   4534.00      0.00 2624560  252424   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:42:39 PM  1000   3991946   26.00    2.00    0.00    0.00   28.00     4   3534.00      0.00 2624676  252772   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
